Accuracies BindsNET all
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,30,100,10000,1,22.5,22.5,20,1.0,128,5,True,False,20,False


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

40.0,40.0,60.0,60.0,40.0,60.0,60.0,80.0,60.0,100.0,60.0,60.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0
40.0,20.0,60.0,60.0,40.0,60.0,100.0,80.0,100.0,80.0,60.0,40.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0
40.0,40.0,60.0,60.0,20.0,80.0,60.0,100.0,80.0,80.0,60.0,60.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,100.0
40.0,40.0,40.0,60.0,40.0,60.0,40.0,100.0,80.0,100.0,80.0,60.0,80.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0
40.0,20.0,60.0,40.0,60.0,60.0,60.0,60.0,80.0,100.0,100.0,80.0,40.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0
40.0,20.0,40.0,40.0,40.0,20.0,80.0,60.0,100.0,100.0,100.0,80.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0
40.0,40.0,40.0,40.0,40.0,80.0,80.0,80.0,60.0,100.0,80.0,80.0,80.0,80.0,100.0,80.0,80.0,100.0,100.0,100.0
40.0,40.0,60.0,40.0,40.0,60.0,80.0,60.0,80.0,80.0,100.0,80.0,100.0,100.0,80.0,100.0,60.0,100.0,100.0,100.0
40.0,60.0,60.0,60.0,40.0,40.0,40.0,60.0,100.0,60.0,100.0,80.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0
40.0,40.0,40.0,40.0,40.0,60.0,80.0,100.0,80.0,100.0,100.0,100.0,60.0,80.0,40.0,80.0,100.0,100.0,80.0,100.0

Averages:
40.0,36.0,52.0,50.0,40.0,58.0,68.0,78.0,82.0,90.0,84.0,72.0,80.0,94.0,78.0,96.0,90.0,98.0,98.0,100.0
Standard deviations:
0.0,12.0,9.797958971132712,10.0,8.94427190999916,16.61324772583615,18.33030277982336,16.61324772583615,14.0,13.416407864998739,17.435595774162696,16.0,17.88854381999832,9.16515138991168,16.61324772583615,8.0,13.416407864998739,6.0,6.0,0.0



