Accuracies BindsNET proportion
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,30,200,10000,1,22.5,11.25,20,1.0,128,5,True,False,1,False


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39

40.0,40.0,60.0,20.0,0.0,40.0,20.0,80.0,80.0,100.0,80.0,80.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.0,20.0,40.0,60.0,20.0,60.0,80.0,80.0,80.0,60.0,100.0,40.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.0,20.0,40.0,60.0,60.0,40.0,40.0,60.0,100.0,100.0,80.0,80.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.0,20.0,40.0,40.0,20.0,40.0,40.0,80.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.0,20.0,40.0,40.0,40.0,40.0,80.0,80.0,100.0,100.0,80.0,100.0,80.0,80.0,100.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.0,40.0,60.0,60.0,40.0,20.0,100.0,40.0,60.0,100.0,60.0,40.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.0,20.0,40.0,40.0,40.0,40.0,80.0,60.0,100.0,100.0,100.0,80.0,100.0,100.0,60.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.0,40.0,40.0,80.0,20.0,80.0,60.0,60.0,80.0,80.0,40.0,80.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0
40.0,60.0,60.0,20.0,40.0,40.0,60.0,80.0,80.0,100.0,100.0,60.0,100.0,100.0,80.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.0,20.0,60.0,40.0,20.0,80.0,40.0,40.0,100.0,100.0,60.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0

Averages:
40.0,30.0,48.0,46.0,30.0,48.0,60.0,66.0,88.0,94.0,80.0,72.0,90.0,96.0,90.0,94.0,92.0,100.0,100.0,98.0,96.0,100.0,96.0,100.0,98.0,94.0,96.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0
Standard deviations:
0.0,13.416407864998739,9.797958971132712,18.0,16.1245154965971,18.33030277982336,23.664319132398465,15.620499351813308,13.2664991614216,12.806248474865697,20.0,20.396078054371138,10.0,8.0,16.1245154965971,9.16515138991168,13.2664991614216,0.0,0.0,6.0,8.0,0.0,8.0,0.0,6.0,9.16515138991168,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0



