Accuracies BindsNET_QA proportion
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,40,100,10000,1,22.5,22.5,20,1.0,128,5,True,False,1,False


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

0.0,20.0,20.0,40.0,40.0,60.0,80.0,80.0,40.0,80.0,80.0,100.0,80.0,80.0,60.0,80.0,100.0,100.0,100.0,80.0
0.0,20.0,40.0,20.0,60.0,40.0,40.0,80.0,40.0,80.0,100.0,80.0,80.0,80.0,60.0,80.0,100.0,100.0,80.0,100.0
0.0,40.0,40.0,20.0,60.0,60.0,20.0,60.0,60.0,60.0,100.0,80.0,60.0,80.0,100.0,80.0,80.0,80.0,100.0,80.0
0.0,20.0,20.0,60.0,60.0,40.0,60.0,80.0,40.0,80.0,60.0,80.0,100.0,80.0,100.0,80.0,100.0,80.0,100.0,80.0
0.0,20.0,20.0,20.0,80.0,20.0,80.0,100.0,80.0,80.0,80.0,80.0,100.0,80.0,80.0,80.0,80.0,100.0,80.0,100.0
0.0,20.0,20.0,40.0,80.0,40.0,100.0,100.0,20.0,80.0,60.0,60.0,80.0,100.0,80.0,60.0,100.0,100.0,80.0,100.0
0.0,40.0,40.0,20.0,80.0,20.0,80.0,80.0,80.0,100.0,100.0,60.0,60.0,80.0,40.0,80.0,100.0,80.0,100.0,80.0
0.0,20.0,0.0,40.0,40.0,60.0,80.0,80.0,40.0,100.0,60.0,100.0,80.0,60.0,80.0,100.0,60.0,100.0,100.0,100.0
0.0,20.0,20.0,40.0,80.0,60.0,80.0,100.0,0.0,60.0,80.0,80.0,100.0,80.0,80.0,80.0,100.0,100.0,60.0,60.0
0.0,20.0,20.0,20.0,60.0,40.0,60.0,40.0,60.0,100.0,60.0,100.0,100.0,60.0,100.0,60.0,100.0,80.0,100.0,100.0

Averages:
0.0,24.0,24.0,32.0,64.0,44.0,68.0,80.0,46.0,82.0,78.0,82.0,84.0,78.0,78.0,78.0,92.0,92.0,90.0,88.0
Standard deviations:
0.0,8.0,12.0,13.2664991614216,14.966629547095765,14.966629547095765,22.271057451320086,17.88854381999832,23.748684174075834,14.0,16.61324772583615,14.0,14.966629547095765,10.770329614269007,18.867962264113206,10.770329614269007,13.2664991614216,9.797958971132712,13.416407864998739,13.2664991614216



