Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,80,1.0,170.0,50,True,False,1,False

Seeds:,1598993921.936314,1598995630.3112938,1598997191.494418,1598998779.6201138,1599000360.422784,1599001938.182487,1599003523.549406,1599005096.677709,1599006678.8273861,1599008280.15136


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,8.0,34.0,26.0,44.0,40.0,46.0,34.0,28.0,44.0,46.0,26.0,38.0,38.0,46.0,36.0,34.0,30.0,28.0,42.0
8.0,10.0,28.0,22.0,38.0,36.0,26.0,38.0,50.0,52.0,34.0,20.0,34.0,42.0,44.0,28.0,34.0,28.0,48.0,30.0
12.0,10.0,38.0,22.0,32.0,26.0,38.0,30.0,48.0,30.0,36.0,36.0,42.0,36.0,36.0,42.0,28.0,52.0,50.0,36.0
10.0,20.0,16.0,12.0,16.0,28.0,36.0,30.0,40.0,36.0,38.0,26.0,42.0,32.0,34.0,42.0,42.0,48.0,38.0,62.0
12.0,10.0,26.0,26.0,14.0,38.0,32.0,22.0,34.0,34.0,44.0,38.0,42.0,60.0,50.0,54.0,52.0,48.0,52.0,20.0
12.0,22.0,34.0,36.0,26.0,14.0,38.0,22.0,38.0,42.0,28.0,40.0,28.0,40.0,58.0,44.0,44.0,24.0,28.0,46.0
12.0,16.0,30.0,30.0,34.0,38.0,36.0,42.0,30.0,30.0,30.0,46.0,32.0,30.0,32.0,30.0,40.0,42.0,44.0,42.0
10.0,24.0,36.0,52.0,34.0,48.0,34.0,18.0,38.0,28.0,40.0,36.0,42.0,46.0,26.0,30.0,42.0,28.0,26.0,38.0
8.0,34.0,24.0,32.0,42.0,42.0,24.0,36.0,38.0,46.0,48.0,50.0,40.0,38.0,42.0,30.0,48.0,40.0,50.0,36.0
12.0,20.0,22.0,16.0,26.0,26.0,34.0,36.0,46.0,42.0,32.0,36.0,26.0,36.0,34.0,42.0,40.0,40.0,52.0,44.0

Averages:
10.6,17.4,28.8,27.4,30.6,33.6,34.4,30.8,39.0,38.4,37.6,35.4,36.6,39.8,40.2,37.8,40.4,38.0,41.6,39.6
Standard deviations:
1.5620499351813308,7.8,6.584831053261731,10.660206376989143,9.593747964169165,9.457272334029511,5.9194594347794975,7.493997598078078,6.942621983083913,7.578918128598566,6.499230723708768,8.765842800324451,5.868560300448484,8.022468448052631,9.097252332435328,7.972452571197899,6.681317235396026,9.38083151964686,10.150862032359617,10.384603988597735



