Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,80,1.0,170.0,50,True,False,1,False

Seeds:,1598748182.771586,1598749748.1092029,1598751342.773798,1598752913.7684228,1598754497.5760581,1598756084.7323189,1598757695.586551,1598759296.4082408,1598760915.717258,1598762508.1274428


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,16.0,14.0,8.0,12.0,10.0,14.0,10.0,10.0,12.0,10.0,10.0,8.0,12.0,8.0,8.0,6.0,4.0,16.0,12.0
24.0,12.0,12.0,12.0,6.0,6.0,8.0,10.0,8.0,14.0,14.0,12.0,10.0,14.0,8.0,12.0,4.0,8.0,6.0,6.0
4.0,14.0,8.0,4.0,14.0,12.0,10.0,6.0,18.0,12.0,4.0,10.0,8.0,10.0,16.0,6.0,8.0,14.0,8.0,10.0
12.0,20.0,6.0,6.0,10.0,12.0,8.0,16.0,12.0,10.0,6.0,10.0,10.0,8.0,14.0,12.0,10.0,10.0,14.0,14.0
10.0,14.0,6.0,8.0,8.0,12.0,8.0,10.0,14.0,8.0,8.0,4.0,12.0,14.0,10.0,18.0,12.0,12.0,8.0,6.0
6.0,10.0,16.0,6.0,12.0,8.0,4.0,16.0,14.0,8.0,6.0,10.0,10.0,14.0,10.0,10.0,14.0,6.0,10.0,10.0
12.0,12.0,4.0,12.0,8.0,10.0,10.0,12.0,16.0,6.0,16.0,12.0,12.0,8.0,12.0,6.0,6.0,6.0,16.0,8.0
8.0,16.0,8.0,12.0,14.0,16.0,12.0,4.0,14.0,8.0,12.0,10.0,8.0,8.0,12.0,10.0,14.0,8.0,8.0,8.0
14.0,6.0,12.0,22.0,16.0,8.0,6.0,10.0,14.0,12.0,8.0,10.0,4.0,6.0,8.0,10.0,4.0,16.0,14.0,10.0
8.0,6.0,10.0,8.0,12.0,12.0,2.0,6.0,12.0,6.0,8.0,10.0,12.0,2.0,8.0,8.0,12.0,18.0,4.0,14.0

Averages:
10.6,12.6,9.6,9.8,11.2,10.6,8.2,10.0,13.2,9.6,9.2,9.8,9.4,9.6,10.6,10.0,9.0,10.2,10.4,9.8
Standard deviations:
5.295280917949491,4.2,3.6660605559646715,4.853864439804639,2.993325909419153,2.6907248094147422,3.4,3.794733192202055,2.7129319932501073,2.65329983228432,3.6,2.08806130178211,2.3748684174075834,3.7735924528226414,2.6907248094147422,3.3466401061363023,3.714835124201342,4.422668877499196,4.079215610874228,2.749545416973504



