Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,80,1.0,170.0,50,True,False,1,False

Seeds:,1598799262.059215,1598800849.225518,1598802590.73053,1598804425.4264379,1598806041.855534,1598807827.2758029,1598809671.387598,1598811505.256932,1598813282.052921,1598815012.068898


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,14.0,14.0,30.0,26.0,20.0,24.0,34.0,22.0,30.0,24.0,24.0,24.0,38.0,36.0,32.0,40.0,54.0,44.0,42.0
8.0,18.0,28.0,26.0,50.0,20.0,28.0,36.0,28.0,42.0,34.0,30.0,22.0,32.0,26.0,32.0,28.0,34.0,48.0,42.0
18.0,16.0,16.0,26.0,26.0,18.0,16.0,34.0,26.0,32.0,38.0,34.0,42.0,48.0,28.0,24.0,36.0,48.0,40.0,42.0
16.0,18.0,26.0,28.0,28.0,38.0,56.0,32.0,48.0,40.0,40.0,66.0,36.0,46.0,38.0,36.0,36.0,38.0,52.0,30.0
12.0,14.0,36.0,26.0,26.0,26.0,30.0,24.0,28.0,46.0,50.0,42.0,48.0,24.0,40.0,36.0,36.0,36.0,50.0,24.0
10.0,20.0,34.0,28.0,22.0,14.0,32.0,34.0,36.0,30.0,28.0,40.0,36.0,46.0,50.0,36.0,46.0,48.0,42.0,46.0
8.0,22.0,20.0,22.0,30.0,16.0,42.0,50.0,46.0,54.0,44.0,46.0,48.0,56.0,48.0,58.0,40.0,64.0,48.0,48.0
14.0,18.0,34.0,16.0,14.0,24.0,26.0,36.0,34.0,34.0,42.0,34.0,34.0,42.0,16.0,36.0,42.0,26.0,36.0,28.0
10.0,20.0,16.0,32.0,32.0,40.0,32.0,22.0,40.0,46.0,46.0,24.0,40.0,30.0,30.0,44.0,36.0,40.0,24.0,38.0
8.0,16.0,16.0,42.0,34.0,20.0,42.0,32.0,42.0,34.0,42.0,28.0,40.0,48.0,26.0,28.0,28.0,34.0,30.0,58.0

Averages:
11.2,17.6,24.0,27.6,28.8,23.6,32.8,33.4,35.0,38.8,38.8,36.8,37.0,41.0,33.8,36.2,36.8,42.2,41.4,39.8
Standard deviations:
3.4871191548325386,2.4979991993593593,8.19756061276768,6.374950980203691,8.818163074019441,8.380930735902785,10.703270528207723,7.158212067269312,8.449852069711044,7.704544113703289,7.652450587883596,12.006664815842907,8.306623862918075,9.348796714016196,10.057832768544126,8.874683092933516,5.3814496188294845,10.675204916066013,8.627861844049198,9.693296652842108



