Accuracies BindsNET_bad_zero proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,80,1.0,170.0,50,True,False,1,False

Seeds:,1598857846.7175932,1598859427.222246,1598861046.20646,1598862775.303872,1598864526.306735,1598866307.752864,1598868040.962334,1598869793.70245,1598871616.98662,1598873405.952199


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

14.0,4.0,10.0,14.0,14.0,2.0,10.0,20.0,12.0,6.0,14.0,18.0,18.0,12.0,4.0,14.0,8.0,12.0,6.0,10.0
4.0,4.0,12.0,6.0,6.0,8.0,8.0,4.0,16.0,8.0,4.0,16.0,10.0,8.0,6.0,14.0,8.0,8.0,8.0,10.0
8.0,12.0,6.0,8.0,4.0,4.0,10.0,14.0,14.0,18.0,16.0,10.0,20.0,8.0,12.0,4.0,6.0,8.0,16.0,14.0
12.0,6.0,12.0,8.0,6.0,12.0,12.0,22.0,8.0,8.0,6.0,10.0,12.0,4.0,8.0,8.0,14.0,6.0,6.0,12.0
10.0,8.0,6.0,14.0,18.0,10.0,6.0,6.0,12.0,10.0,12.0,8.0,12.0,6.0,8.0,8.0,14.0,20.0,10.0,16.0
18.0,10.0,8.0,14.0,14.0,12.0,10.0,8.0,8.0,16.0,10.0,14.0,12.0,12.0,8.0,8.0,8.0,10.0,10.0,12.0
10.0,14.0,8.0,4.0,2.0,6.0,8.0,14.0,6.0,16.0,10.0,12.0,12.0,12.0,16.0,4.0,6.0,4.0,12.0,8.0
6.0,8.0,8.0,4.0,6.0,6.0,8.0,10.0,14.0,16.0,14.0,10.0,18.0,4.0,12.0,8.0,10.0,4.0,10.0,16.0
10.0,10.0,14.0,4.0,12.0,4.0,10.0,10.0,8.0,8.0,16.0,6.0,10.0,8.0,4.0,4.0,6.0,12.0,10.0,12.0
10.0,14.0,10.0,4.0,12.0,10.0,10.0,8.0,10.0,8.0,6.0,8.0,6.0,14.0,4.0,2.0,8.0,16.0,10.0,12.0

Averages:
10.2,9.0,9.4,8.0,9.4,7.4,9.2,11.6,10.8,11.4,10.8,11.2,13.0,8.8,8.2,7.4,8.8,10.0,9.8,12.2
Standard deviations:
3.7363083384538807,3.492849839314596,2.537715508089904,4.1952353926806065,4.983974317750844,3.352610922848042,1.5999999999999999,5.571355310873647,3.1240998703626617,4.294182110716778,4.1182520563948,3.6,4.123105625617661,3.370459909270543,3.841874542459709,3.903844259188627,2.85657137141714,4.898979485566356,2.7495454169735045,2.4413111231467406



