Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,80,1.0,170.0,50,True,False,1,False

Seeds:,1598900687.433928,1598902267.0192451,1598903834.560452,1598905419.584136,1598907001.9965172,1598908594.055947,1598910171.1876302,1598911771.740156,1598913375.4530098,1598914970.55679


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,10.0,22.0,34.0,40.0,44.0,28.0,26.0,36.0,28.0,40.0,22.0,42.0,46.0,34.0,24.0,34.0,22.0,36.0,50.0
12.0,14.0,14.0,16.0,36.0,30.0,34.0,38.0,40.0,30.0,46.0,36.0,38.0,30.0,32.0,46.0,24.0,56.0,42.0,42.0
10.0,20.0,32.0,48.0,32.0,34.0,30.0,18.0,34.0,18.0,54.0,44.0,56.0,44.0,32.0,42.0,42.0,50.0,50.0,48.0
16.0,24.0,28.0,40.0,24.0,30.0,50.0,36.0,42.0,58.0,52.0,54.0,44.0,28.0,42.0,40.0,42.0,72.0,42.0,42.0
16.0,20.0,10.0,36.0,40.0,30.0,36.0,28.0,36.0,46.0,32.0,42.0,34.0,50.0,34.0,52.0,30.0,44.0,56.0,48.0
14.0,22.0,28.0,24.0,24.0,22.0,36.0,26.0,18.0,32.0,40.0,26.0,16.0,32.0,42.0,50.0,48.0,36.0,42.0,52.0
12.0,16.0,28.0,40.0,34.0,36.0,28.0,32.0,32.0,40.0,38.0,34.0,32.0,48.0,26.0,50.0,50.0,70.0,62.0,40.0
6.0,26.0,22.0,24.0,22.0,28.0,20.0,36.0,30.0,32.0,38.0,44.0,32.0,44.0,52.0,34.0,50.0,28.0,24.0,40.0
16.0,22.0,20.0,30.0,30.0,42.0,28.0,34.0,24.0,32.0,42.0,44.0,56.0,40.0,44.0,34.0,34.0,42.0,28.0,30.0
16.0,22.0,20.0,28.0,38.0,28.0,24.0,30.0,30.0,46.0,32.0,46.0,60.0,40.0,34.0,52.0,54.0,44.0,52.0,50.0

Averages:
12.4,19.6,22.4,32.0,32.0,32.4,31.4,30.4,32.2,36.2,41.4,39.2,41.0,40.2,37.2,42.4,40.8,46.4,43.4,44.2
Standard deviations:
3.7735924528226414,4.63033476111609,6.499230723708768,8.988882021697693,6.44980619863884,6.374950980203691,7.851114570556208,5.782732917920385,6.838128398911504,10.824047302187848,7.045565981523415,9.21737489744233,12.907362240210041,7.345747068882782,7.222188034107115,8.93532316147547,9.431860898041277,15.460918472070151,11.385956261992227,6.352952069707436



