Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,80,1.0,170.0,50,True,False,1,False

Seeds:,1598939219.5229928,1598940778.2245991,1598942341.55898,1598943927.7442648,1598945515.342606,1598947085.7263381,1598948672.611182,1598950377.530645,1598952053.3199859,1598953773.707335


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,4.0,16.0,14.0,12.0,14.0,4.0,12.0,6.0,12.0,2.0,6.0,6.0,8.0,8.0,8.0,10.0,12.0,12.0,16.0
10.0,8.0,4.0,12.0,14.0,8.0,12.0,6.0,18.0,12.0,20.0,14.0,2.0,10.0,12.0,6.0,12.0,6.0,10.0,12.0
10.0,8.0,10.0,16.0,6.0,14.0,8.0,16.0,14.0,6.0,10.0,14.0,6.0,4.0,4.0,8.0,10.0,10.0,10.0,16.0
6.0,12.0,12.0,4.0,8.0,12.0,8.0,12.0,8.0,8.0,6.0,6.0,14.0,6.0,10.0,14.0,6.0,8.0,12.0,12.0
6.0,4.0,12.0,6.0,14.0,14.0,8.0,10.0,12.0,6.0,2.0,12.0,8.0,14.0,8.0,14.0,8.0,10.0,8.0,4.0
2.0,8.0,6.0,14.0,18.0,2.0,8.0,6.0,6.0,6.0,12.0,14.0,6.0,8.0,12.0,6.0,4.0,12.0,10.0,4.0
6.0,10.0,12.0,4.0,10.0,8.0,8.0,8.0,8.0,8.0,4.0,12.0,10.0,8.0,14.0,8.0,4.0,6.0,20.0,10.0
12.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,6.0,4.0,8.0,10.0,18.0,10.0,18.0,10.0,8.0,6.0,16.0,6.0
16.0,10.0,6.0,16.0,12.0,10.0,10.0,14.0,10.0,8.0,4.0,10.0,12.0,16.0,14.0,20.0,14.0,12.0,18.0,10.0
16.0,10.0,18.0,10.0,14.0,8.0,20.0,14.0,10.0,2.0,8.0,10.0,4.0,8.0,8.0,10.0,14.0,8.0,4.0,8.0

Averages:
8.8,8.2,10.4,10.4,11.6,9.8,9.4,10.2,9.8,7.2,7.6,10.8,8.6,9.2,10.8,10.4,9.0,9.0,12.0,9.8
Standard deviations:
4.578209256903839,2.4413111231467406,4.2708313008125245,4.454211490264017,3.4409301068170506,3.627671429443411,4.004996878900157,3.8418745424597094,3.7363083384538807,2.993325909419153,5.2,2.85657137141714,4.651881339845203,3.370459909270543,3.8157568056677826,4.17612260356422,3.492849839314596,2.4083189157584592,4.560701700396552,4.142463035441596



