Accuracies BindsNET_bad_zero all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,80,1.0,170.0,50,True,False,1,False

Seeds:,1598939219.5229928,1598940778.2245991,1598942341.55898,1598943927.7442648,1598945515.342606,1598947085.7263381,1598948672.611182,1598950377.530645,1598952053.3199859,1598953773.707335


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,16.0,10.0,10.0,6.0,12.0,8.0,12.0,16.0,10.0,8.0,12.0,14.0,8.0,4.0,4.0,14.0,16.0,6.0,12.0
10.0,2.0,14.0,8.0,12.0,6.0,12.0,10.0,10.0,8.0,8.0,20.0,12.0,12.0,6.0,14.0,8.0,10.0,14.0,12.0
10.0,6.0,12.0,12.0,4.0,10.0,14.0,6.0,12.0,16.0,10.0,10.0,4.0,10.0,6.0,4.0,6.0,8.0,18.0,16.0
6.0,22.0,6.0,12.0,4.0,12.0,8.0,4.0,8.0,4.0,8.0,6.0,10.0,18.0,6.0,12.0,12.0,24.0,10.0,4.0
6.0,4.0,10.0,16.0,10.0,12.0,4.0,10.0,18.0,8.0,14.0,14.0,22.0,8.0,6.0,14.0,20.0,10.0,16.0,10.0
2.0,14.0,12.0,10.0,6.0,22.0,12.0,8.0,6.0,18.0,10.0,10.0,8.0,10.0,16.0,18.0,6.0,18.0,12.0,8.0
6.0,8.0,8.0,6.0,12.0,12.0,12.0,10.0,10.0,14.0,10.0,8.0,4.0,10.0,6.0,4.0,16.0,12.0,6.0,6.0
12.0,10.0,10.0,8.0,12.0,8.0,14.0,8.0,10.0,10.0,4.0,10.0,4.0,16.0,12.0,10.0,2.0,14.0,4.0,14.0
16.0,10.0,12.0,12.0,8.0,10.0,12.0,18.0,12.0,6.0,12.0,8.0,10.0,6.0,12.0,16.0,14.0,14.0,18.0,12.0
16.0,24.0,8.0,6.0,12.0,6.0,6.0,4.0,8.0,10.0,4.0,18.0,6.0,4.0,6.0,12.0,4.0,8.0,18.0,8.0

Averages:
8.8,11.6,10.2,10.0,8.6,11.0,10.2,9.0,11.0,10.4,8.8,11.6,9.4,10.2,8.0,10.8,10.2,13.4,12.2,10.2
Standard deviations:
4.578209256903839,6.974238309665077,2.2715633383201093,2.9664793948382653,3.2310988842807022,4.312771730569565,3.280243893371345,3.924283374069717,3.492849839314596,4.17612260356422,2.9933259094191533,4.2708313008125245,5.370288632839022,4.044749683231338,3.687817782917155,4.915282290977803,5.546169849544819,4.737087712930805,5.173006862551025,3.5156791662493894



