Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1596910583.5853848,1596912036.216351,1596913646.752039,1596915120.1670332,1596916520.179734,1596917912.59899,1596919305.143052,1596920694.064092,1596922102.197331,1596923504.920226


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,14.0,16.0,22.0,26.0,18.0,30.0,44.0,42.0,38.0,48.0,44.0,24.0,28.0,34.0,32.0,34.0,26.0,46.0,52.0
10.0,8.0,16.0,26.0,22.0,24.0,26.0,14.0,18.0,28.0,26.0,26.0,12.0,32.0,34.0,42.0,46.0,44.0,32.0,38.0
14.0,16.0,6.0,28.0,18.0,20.0,30.0,44.0,38.0,36.0,26.0,42.0,28.0,38.0,30.0,44.0,48.0,32.0,52.0,34.0
14.0,30.0,20.0,18.0,44.0,38.0,26.0,44.0,26.0,50.0,46.0,32.0,32.0,42.0,38.0,42.0,36.0,40.0,42.0,32.0
4.0,14.0,14.0,18.0,32.0,22.0,26.0,40.0,44.0,48.0,38.0,42.0,20.0,38.0,48.0,32.0,52.0,36.0,32.0,48.0
2.0,14.0,8.0,12.0,26.0,32.0,30.0,42.0,46.0,38.0,36.0,56.0,44.0,54.0,30.0,36.0,46.0,48.0,54.0,36.0
6.0,14.0,16.0,26.0,40.0,24.0,22.0,32.0,36.0,52.0,38.0,28.0,42.0,38.0,50.0,52.0,46.0,44.0,46.0,50.0
18.0,22.0,12.0,30.0,32.0,32.0,38.0,38.0,30.0,44.0,34.0,52.0,32.0,40.0,36.0,46.0,30.0,42.0,50.0,42.0
8.0,24.0,18.0,20.0,20.0,16.0,30.0,26.0,22.0,40.0,32.0,36.0,40.0,52.0,40.0,36.0,44.0,36.0,52.0,42.0
16.0,20.0,16.0,24.0,28.0,36.0,24.0,34.0,34.0,36.0,28.0,38.0,38.0,34.0,46.0,42.0,38.0,52.0,28.0,24.0

Averages:
10.2,17.6,14.2,22.4,28.8,26.2,28.2,35.8,33.6,41.0,35.2,39.6,31.2,39.6,38.6,40.4,42.0,40.0,43.4,39.8
Standard deviations:
5.015974481593781,6.053098380168623,4.1424630354415966,5.2,7.95989949685296,7.345747068882782,4.237924020083418,9.228217596047461,8.97997772825746,7.05691150575094,7.277362159464101,9.200000000000001,9.80612053770501,7.735631842325486,6.873136110975833,6.053098380168622,6.6932802122726045,7.321202087089251,9.035485598461214,8.316249154516717



