Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597391458.190292,1597392967.1100469,1597394448.646709,1597395900.552719,1597397399.6791801,1597398870.0460641,1597400354.5929139,1597402039.201906,1597403698.043669,1597405316.0419142


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,10.0,20.0,22.0,18.0,30.0,22.0,32.0,34.0,34.0,42.0,36.0,30.0,46.0,32.0,38.0,44.0,40.0,56.0,40.0
12.0,16.0,18.0,28.0,28.0,20.0,32.0,34.0,26.0,34.0,40.0,36.0,40.0,36.0,46.0,50.0,46.0,38.0,36.0,44.0
8.0,18.0,14.0,20.0,14.0,20.0,20.0,26.0,32.0,22.0,30.0,36.0,34.0,30.0,48.0,44.0,46.0,38.0,42.0,46.0
10.0,18.0,12.0,26.0,20.0,32.0,30.0,38.0,24.0,30.0,30.0,26.0,26.0,26.0,38.0,38.0,42.0,42.0,32.0,42.0
12.0,16.0,24.0,20.0,22.0,22.0,28.0,34.0,38.0,42.0,34.0,32.0,42.0,32.0,38.0,30.0,26.0,36.0,42.0,50.0
12.0,12.0,20.0,20.0,22.0,22.0,46.0,34.0,38.0,36.0,34.0,44.0,30.0,42.0,18.0,34.0,26.0,44.0,28.0,40.0
10.0,8.0,20.0,38.0,34.0,20.0,26.0,38.0,30.0,22.0,24.0,16.0,30.0,44.0,34.0,40.0,38.0,26.0,36.0,54.0
6.0,12.0,16.0,24.0,30.0,26.0,26.0,24.0,22.0,20.0,28.0,32.0,44.0,44.0,48.0,38.0,44.0,40.0,52.0,42.0
6.0,14.0,22.0,16.0,34.0,14.0,18.0,22.0,40.0,40.0,26.0,38.0,40.0,30.0,38.0,42.0,38.0,38.0,40.0,38.0
10.0,6.0,12.0,12.0,22.0,18.0,34.0,28.0,30.0,36.0,22.0,44.0,26.0,30.0,28.0,22.0,30.0,42.0,42.0,54.0

Averages:
9.4,13.0,17.8,22.6,24.4,22.4,28.2,31.0,31.4,31.6,31.0,34.0,34.2,36.0,36.8,37.6,38.0,38.4,40.6,45.0
Standard deviations:
2.2,3.924283374069717,3.9446165846632044,6.755738301621815,6.437390775772433,5.2,7.665507158694719,5.385164807134504,5.868560300448483,7.418894796396563,6.212889826803627,7.899367063252599,6.4156059729381765,6.985699678629192,8.953211714239757,7.310266752998827,7.536577472566709,4.715930449020639,8.052328855678958,5.531726674375733



