Accuracies BindsNET_bad_zero proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597391458.190292,1597392967.1100469,1597394448.646709,1597395900.552719,1597397399.6791801,1597398870.0460641,1597400354.5929139,1597402039.201906,1597403698.043669,1597405316.0419142


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,6.0,8.0,6.0,4.0,12.0,6.0,8.0,12.0,12.0,8.0,12.0,16.0,8.0,10.0,12.0,10.0,6.0,8.0,10.0
12.0,4.0,10.0,10.0,4.0,8.0,16.0,10.0,14.0,18.0,20.0,18.0,16.0,4.0,10.0,10.0,8.0,10.0,6.0,18.0
8.0,10.0,12.0,10.0,18.0,10.0,6.0,16.0,8.0,12.0,10.0,2.0,12.0,12.0,2.0,8.0,8.0,16.0,10.0,8.0
10.0,10.0,6.0,4.0,10.0,12.0,12.0,10.0,4.0,10.0,14.0,6.0,10.0,8.0,16.0,2.0,4.0,8.0,14.0,8.0
12.0,10.0,8.0,6.0,10.0,8.0,8.0,14.0,18.0,6.0,12.0,12.0,14.0,14.0,4.0,8.0,10.0,4.0,20.0,16.0
12.0,8.0,8.0,8.0,6.0,4.0,14.0,14.0,8.0,10.0,8.0,4.0,6.0,8.0,8.0,10.0,14.0,6.0,8.0,8.0
10.0,8.0,10.0,12.0,10.0,14.0,20.0,0.0,8.0,8.0,10.0,8.0,16.0,12.0,12.0,8.0,12.0,6.0,6.0,2.0
6.0,12.0,6.0,6.0,12.0,10.0,12.0,6.0,14.0,16.0,14.0,14.0,14.0,8.0,20.0,14.0,8.0,8.0,2.0,16.0
6.0,10.0,6.0,8.0,16.0,12.0,16.0,6.0,16.0,14.0,6.0,22.0,12.0,10.0,6.0,4.0,22.0,2.0,14.0,6.0
10.0,6.0,8.0,12.0,12.0,12.0,10.0,6.0,6.0,10.0,18.0,14.0,6.0,2.0,10.0,4.0,10.0,6.0,16.0,8.0

Averages:
9.4,8.4,8.2,8.2,10.2,10.2,12.0,9.0,10.8,11.6,12.0,11.2,12.2,8.6,9.8,8.0,10.6,7.2,10.4,10.0
Standard deviations:
2.2,2.3323807579381204,1.8867962264113207,2.6,4.422668877499196,2.749545416973504,4.381780460041329,4.58257569495584,4.3999999999999995,3.440930106817051,4.2895221179054435,5.946427498927402,3.627671429443411,3.4698703145794947,5.095095681142799,3.5777087639996634,4.565084884205331,3.6000000000000005,5.2,4.8166378315169185



