Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597608854.5081768,1597610472.5146172,1597611841.763513,1597613228.197218,1597614600.03389,1597615986.405426,1597617372.1467059,1597618753.711766,1597620144.97489,1597621535.222909


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,4.0,6.0,8.0,2.0,8.0,18.0,6.0,8.0,8.0,16.0,8.0,6.0,8.0,10.0,14.0,16.0,4.0,16.0,6.0
6.0,12.0,8.0,10.0,12.0,10.0,10.0,12.0,12.0,8.0,10.0,8.0,8.0,18.0,4.0,12.0,12.0,10.0,12.0,2.0
8.0,12.0,6.0,10.0,14.0,10.0,10.0,16.0,6.0,8.0,10.0,10.0,8.0,2.0,2.0,10.0,14.0,12.0,4.0,4.0
8.0,16.0,14.0,14.0,8.0,10.0,4.0,6.0,12.0,6.0,2.0,6.0,6.0,8.0,8.0,4.0,18.0,8.0,4.0,10.0
10.0,10.0,8.0,14.0,10.0,12.0,4.0,10.0,4.0,8.0,4.0,10.0,6.0,10.0,10.0,4.0,6.0,6.0,4.0,2.0
12.0,8.0,4.0,6.0,10.0,12.0,12.0,18.0,12.0,10.0,10.0,10.0,2.0,12.0,10.0,12.0,10.0,10.0,8.0,8.0
2.0,12.0,10.0,6.0,12.0,6.0,10.0,18.0,24.0,8.0,4.0,4.0,10.0,8.0,16.0,8.0,6.0,12.0,14.0,10.0
14.0,16.0,4.0,16.0,4.0,10.0,6.0,6.0,10.0,10.0,10.0,16.0,14.0,12.0,8.0,12.0,12.0,12.0,4.0,6.0
12.0,8.0,10.0,18.0,10.0,12.0,16.0,12.0,20.0,8.0,8.0,6.0,12.0,8.0,8.0,12.0,12.0,18.0,14.0,4.0
6.0,10.0,12.0,6.0,18.0,12.0,14.0,12.0,6.0,8.0,2.0,10.0,6.0,10.0,8.0,10.0,14.0,20.0,8.0,14.0

Averages:
9.0,10.8,8.2,10.8,10.0,10.2,10.4,11.6,11.4,8.2,7.6,8.8,7.8,9.6,8.4,9.8,12.0,11.2,8.8,6.6
Standard deviations:
3.492849839314596,3.4871191548325386,3.1559467676119,4.214261501141095,4.381780460041329,1.8867962264113207,4.543126676640219,4.454211490264018,6.003332407921453,1.0770329614269007,4.2708313008125245,3.1240998703626617,3.280243893371345,3.878143885933063,3.5552777669262356,3.2802438933713454,3.687817782917155,4.66476151587624,4.578209256903839,3.693237062523877



