Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597608854.5081768,1597610472.5146172,1597611841.763513,1597613228.197218,1597614600.03389,1597615986.405426,1597617372.1467059,1597618753.711766,1597620144.97489,1597621535.222909


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,2.0,8.0,6.0,6.0,8.0,18.0,8.0,8.0,8.0,18.0,10.0,6.0,6.0,10.0,14.0,16.0,6.0,16.0,4.0
6.0,8.0,8.0,8.0,6.0,12.0,8.0,12.0,10.0,12.0,10.0,8.0,10.0,14.0,4.0,14.0,12.0,8.0,14.0,2.0
8.0,10.0,8.0,10.0,10.0,10.0,8.0,16.0,4.0,6.0,10.0,10.0,6.0,4.0,4.0,10.0,14.0,12.0,4.0,6.0
8.0,18.0,8.0,12.0,10.0,12.0,2.0,2.0,10.0,6.0,2.0,6.0,6.0,10.0,10.0,4.0,16.0,6.0,2.0,10.0
10.0,8.0,12.0,16.0,8.0,10.0,6.0,8.0,4.0,6.0,4.0,8.0,6.0,8.0,12.0,6.0,6.0,6.0,6.0,0.0
12.0,10.0,2.0,6.0,12.0,10.0,12.0,20.0,12.0,6.0,12.0,10.0,2.0,12.0,10.0,14.0,12.0,8.0,8.0,10.0
2.0,12.0,14.0,6.0,12.0,6.0,10.0,18.0,26.0,8.0,4.0,4.0,8.0,8.0,14.0,8.0,6.0,18.0,16.0,8.0
14.0,12.0,8.0,18.0,2.0,14.0,8.0,6.0,8.0,16.0,10.0,14.0,12.0,8.0,12.0,14.0,14.0,14.0,6.0,8.0
12.0,8.0,12.0,20.0,4.0,12.0,16.0,12.0,22.0,10.0,6.0,4.0,12.0,6.0,4.0,10.0,10.0,18.0,12.0,2.0
6.0,8.0,12.0,8.0,14.0,14.0,18.0,12.0,6.0,6.0,6.0,10.0,8.0,14.0,8.0,8.0,12.0,20.0,12.0,16.0

Averages:
9.0,9.6,9.2,11.0,8.4,10.8,10.6,11.4,11.0,8.4,8.2,8.4,7.6,9.0,8.8,10.2,11.8,11.6,9.6,6.6
Standard deviations:
3.492849839314596,3.878143885933063,3.249615361854384,5.0,3.6660605559646724,2.4,5.063595560468865,5.295280917949491,7.0,3.2,4.512205669071391,2.939387691339814,2.9393876913398134,3.255764119219941,3.4871191548325386,3.5156791662493894,3.4,5.276362383309167,4.8,4.565084884205332



