Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597651941.4120698,1597653526.1150331,1597655024.469524,1597656644.035724,1597658109.7472599,1597659604.6603572,1597661087.615366,1597662503.808356,1597663920.3950698,1597665326.868704


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

20.0,24.0,12.0,8.0,10.0,20.0,22.0,22.0,42.0,32.0,28.0,42.0,38.0,34.0,42.0,36.0,40.0,52.0,50.0,44.0
20.0,16.0,18.0,28.0,28.0,28.0,18.0,38.0,38.0,52.0,46.0,38.0,46.0,38.0,40.0,36.0,32.0,38.0,40.0,46.0
8.0,10.0,12.0,34.0,44.0,34.0,42.0,18.0,30.0,40.0,26.0,28.0,38.0,32.0,34.0,30.0,26.0,40.0,42.0,46.0
10.0,16.0,12.0,16.0,28.0,36.0,32.0,40.0,22.0,34.0,26.0,38.0,52.0,40.0,44.0,38.0,42.0,46.0,28.0,48.0
16.0,12.0,20.0,20.0,26.0,12.0,42.0,24.0,24.0,36.0,32.0,32.0,36.0,48.0,36.0,44.0,28.0,36.0,38.0,48.0
6.0,16.0,26.0,20.0,20.0,28.0,24.0,36.0,38.0,40.0,26.0,28.0,34.0,48.0,38.0,18.0,50.0,36.0,32.0,38.0
10.0,12.0,20.0,20.0,24.0,38.0,36.0,26.0,42.0,52.0,36.0,32.0,38.0,36.0,26.0,32.0,42.0,38.0,46.0,32.0
10.0,10.0,8.0,16.0,28.0,32.0,20.0,28.0,48.0,42.0,50.0,56.0,44.0,44.0,50.0,42.0,44.0,42.0,32.0,46.0
12.0,10.0,20.0,16.0,28.0,22.0,38.0,28.0,28.0,36.0,38.0,54.0,40.0,48.0,40.0,36.0,34.0,44.0,30.0,42.0
8.0,20.0,14.0,14.0,22.0,38.0,30.0,42.0,40.0,24.0,40.0,38.0,38.0,26.0,52.0,52.0,48.0,40.0,26.0,40.0

Averages:
12.0,14.6,16.2,19.2,25.8,28.8,30.4,30.2,35.2,38.8,34.8,38.6,40.4,39.4,40.2,36.4,38.6,41.2,36.4,43.0
Standard deviations:
4.732863826479693,4.476605857119878,5.173006862551025,6.939740629158989,8.072174428244226,8.158431221748456,8.56971411425142,7.8204859184068605,8.207313811473277,8.158431221748454,8.255906976220118,9.297311439335568,5.122499389946279,7.213875518748574,7.180529228406497,8.56971411425142,7.800000000000001,4.749736834815167,7.631513611335566,4.8373546489791295



