Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598228067.385188,1598229423.795959,1598230772.246001,1598232138.232736,1598233498.3122509,1598234862.204732,1598236226.05352,1598237597.5767438,1598238974.465873,1598240344.9994721


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,10.0,20.0,2.0,18.0,12.0,12.0,26.0,42.0,18.0,24.0,28.0,40.0,36.0,16.0,24.0,26.0,34.0,24.0,24.0
8.0,8.0,12.0,12.0,16.0,30.0,22.0,26.0,32.0,22.0,18.0,28.0,28.0,22.0,34.0,30.0,24.0,26.0,22.0,20.0
6.0,18.0,20.0,26.0,28.0,32.0,24.0,30.0,14.0,20.0,32.0,24.0,28.0,32.0,12.0,20.0,38.0,32.0,26.0,16.0
4.0,12.0,14.0,18.0,20.0,20.0,24.0,18.0,26.0,32.0,26.0,28.0,26.0,22.0,28.0,26.0,34.0,28.0,38.0,18.0
4.0,10.0,10.0,22.0,28.0,20.0,24.0,14.0,22.0,30.0,36.0,34.0,28.0,24.0,26.0,30.0,32.0,28.0,18.0,28.0
6.0,10.0,24.0,20.0,20.0,12.0,22.0,22.0,36.0,20.0,22.0,30.0,28.0,32.0,34.0,14.0,30.0,34.0,28.0,26.0
12.0,10.0,14.0,12.0,28.0,24.0,22.0,24.0,16.0,22.0,26.0,20.0,16.0,30.0,14.0,24.0,22.0,32.0,26.0,18.0
6.0,20.0,22.0,10.0,22.0,16.0,24.0,12.0,20.0,14.0,30.0,30.0,16.0,22.0,24.0,24.0,12.0,30.0,32.0,36.0
10.0,4.0,20.0,10.0,18.0,26.0,12.0,26.0,26.0,20.0,20.0,26.0,28.0,18.0,24.0,22.0,28.0,26.0,40.0,32.0
6.0,10.0,20.0,18.0,20.0,22.0,18.0,18.0,22.0,26.0,22.0,24.0,30.0,20.0,34.0,24.0,34.0,40.0,26.0,26.0

Averages:
7.0,11.2,17.6,15.0,21.8,21.4,20.4,21.6,25.6,22.4,25.6,27.2,26.8,25.8,24.6,23.8,28.0,31.0,28.0,24.4
Standard deviations:
2.4083189157584592,4.3999999999999995,4.454211490264017,6.708203932499369,4.331281565541543,6.514598989960931,4.5431266766402185,5.571355310873648,8.380930735902785,5.2,5.351635264103861,3.7094473981982814,6.523802572120036,5.827520913733386,7.901898506055365,4.422668877499196,7.0992957397195395,4.123105625617661,6.511528238439882,6.1838499334961226



