Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598056078.580425,1598057443.987913,1598058810.260129,1598060198.960937,1598061577.2636611,1598062965.9798899,1598064351.448129,1598065741.880252,1598067132.4809039,1598068533.2173061


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,10.0,12.0,10.0,14.0,8.0,8.0,20.0,10.0,8.0,8.0,8.0,8.0,10.0,8.0,10.0,10.0,18.0,16.0,16.0
20.0,10.0,2.0,12.0,4.0,22.0,6.0,6.0,10.0,12.0,6.0,6.0,14.0,10.0,16.0,14.0,8.0,8.0,12.0,10.0
8.0,18.0,4.0,12.0,12.0,22.0,10.0,10.0,10.0,12.0,2.0,20.0,8.0,8.0,8.0,12.0,16.0,6.0,14.0,6.0
16.0,4.0,14.0,10.0,12.0,4.0,8.0,8.0,12.0,10.0,14.0,6.0,8.0,20.0,6.0,10.0,16.0,8.0,6.0,8.0
12.0,12.0,14.0,10.0,12.0,4.0,24.0,4.0,2.0,12.0,6.0,16.0,6.0,12.0,6.0,10.0,10.0,6.0,8.0,14.0
8.0,8.0,10.0,14.0,10.0,6.0,8.0,12.0,10.0,6.0,6.0,10.0,4.0,16.0,8.0,18.0,12.0,8.0,14.0,16.0
6.0,8.0,14.0,14.0,10.0,6.0,4.0,12.0,8.0,14.0,4.0,14.0,8.0,18.0,8.0,6.0,12.0,14.0,10.0,12.0
12.0,6.0,6.0,4.0,4.0,14.0,8.0,8.0,12.0,4.0,8.0,8.0,8.0,12.0,16.0,6.0,4.0,10.0,12.0,10.0
10.0,10.0,8.0,10.0,16.0,2.0,6.0,14.0,14.0,10.0,2.0,12.0,8.0,10.0,10.0,16.0,12.0,22.0,8.0,8.0
12.0,18.0,10.0,6.0,6.0,8.0,10.0,22.0,10.0,4.0,4.0,12.0,4.0,8.0,12.0,8.0,10.0,4.0,2.0,6.0

Averages:
11.0,10.4,9.4,10.2,10.0,9.6,9.2,11.6,9.8,9.2,6.0,11.2,7.6,12.4,9.8,11.0,11.0,10.4,10.2,10.6
Standard deviations:
4.219004621945797,4.363484845854286,4.1036569057366385,3.0265491900843116,3.8987177379235853,6.916646586316233,5.2306787322488075,5.499090833947008,3.026549190084312,3.370459909270543,3.3466401061363023,4.308131845707604,2.65329983228432,3.9799497484264794,3.5156791662493894,3.82099463490856,3.3763886032268267,5.499090833947008,4.044749683231338,3.5832945734337835



