Accuracies BindsNET_bad_zero all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598056078.580425,1598057443.987913,1598058810.260129,1598060198.960937,1598061577.2636611,1598062965.9798899,1598064351.448129,1598065741.880252,1598067132.4809039,1598068533.2173061


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,14.0,10.0,8.0,4.0,6.0,2.0,6.0,8.0,8.0,6.0,10.0,10.0,14.0,8.0,4.0,16.0,6.0,6.0,20.0
20.0,8.0,14.0,10.0,6.0,14.0,10.0,14.0,6.0,10.0,6.0,10.0,10.0,16.0,4.0,12.0,0.0,4.0,14.0,14.0
8.0,14.0,16.0,10.0,12.0,12.0,4.0,10.0,12.0,10.0,6.0,6.0,10.0,6.0,8.0,6.0,14.0,16.0,18.0,10.0
16.0,14.0,6.0,10.0,6.0,12.0,6.0,14.0,18.0,8.0,4.0,2.0,8.0,18.0,6.0,6.0,12.0,18.0,6.0,16.0
12.0,12.0,6.0,4.0,8.0,8.0,6.0,8.0,14.0,10.0,16.0,14.0,6.0,6.0,12.0,12.0,14.0,10.0,8.0,12.0
8.0,8.0,4.0,4.0,6.0,4.0,10.0,6.0,12.0,8.0,10.0,12.0,24.0,10.0,12.0,8.0,12.0,10.0,20.0,10.0
6.0,6.0,12.0,8.0,8.0,10.0,10.0,14.0,6.0,6.0,14.0,6.0,2.0,16.0,8.0,14.0,16.0,22.0,20.0,6.0
12.0,6.0,12.0,14.0,8.0,6.0,4.0,6.0,12.0,4.0,12.0,16.0,8.0,6.0,6.0,16.0,14.0,10.0,14.0,12.0
10.0,8.0,10.0,16.0,8.0,10.0,12.0,14.0,14.0,2.0,14.0,6.0,4.0,2.0,6.0,6.0,10.0,6.0,14.0,6.0
12.0,6.0,16.0,12.0,12.0,8.0,14.0,14.0,4.0,12.0,6.0,10.0,12.0,12.0,0.0,12.0,12.0,6.0,10.0,4.0

Averages:
11.0,9.6,10.6,9.6,7.8,9.0,7.8,10.6,10.6,7.8,9.4,9.2,9.4,10.6,7.0,9.6,12.0,10.8,13.0,11.0
Standard deviations:
4.219004621945797,3.3226495451672298,4.004996878900157,3.6660605559646715,2.4413111231467406,3.0,3.736308338453881,3.5832945734337835,4.2,2.891366458960192,4.1036569057366385,4.019950248448356,5.660388679233963,5.141984052872976,3.3763886032268267,3.8781438859330635,4.381780460041329,5.670978751503131,5.079370039680118,4.669047011971501



