Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598145408.592005,1598146770.9870842,1598148144.837265,1598149505.9502358,1598150882.8480499,1598152247.558862,1598153631.943965,1598154997.951686,1598156373.950407,1598157765.3590322


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,16.0,16.0,18.0,20.0,36.0,18.0,34.0,36.0,26.0,30.0,26.0,42.0,36.0,48.0,34.0,34.0,30.0,38.0,24.0
8.0,14.0,18.0,20.0,26.0,36.0,30.0,28.0,20.0,36.0,22.0,40.0,34.0,28.0,38.0,32.0,24.0,22.0,38.0,34.0
4.0,6.0,12.0,10.0,24.0,32.0,18.0,18.0,40.0,20.0,26.0,22.0,22.0,22.0,30.0,22.0,28.0,22.0,40.0,38.0
10.0,20.0,20.0,12.0,18.0,34.0,26.0,34.0,22.0,30.0,34.0,28.0,20.0,22.0,22.0,44.0,36.0,36.0,32.0,34.0
8.0,12.0,4.0,18.0,22.0,16.0,16.0,38.0,38.0,30.0,32.0,38.0,32.0,40.0,38.0,24.0,34.0,24.0,36.0,36.0
10.0,12.0,18.0,26.0,18.0,16.0,32.0,28.0,30.0,30.0,18.0,22.0,14.0,28.0,16.0,28.0,34.0,18.0,24.0,32.0
16.0,20.0,16.0,18.0,26.0,22.0,22.0,20.0,24.0,38.0,26.0,32.0,30.0,32.0,26.0,44.0,40.0,30.0,38.0,42.0
8.0,26.0,10.0,12.0,32.0,24.0,20.0,14.0,26.0,24.0,36.0,36.0,24.0,34.0,30.0,38.0,40.0,28.0,24.0,26.0
10.0,10.0,8.0,26.0,16.0,18.0,14.0,30.0,18.0,18.0,32.0,34.0,24.0,28.0,24.0,22.0,30.0,20.0,40.0,28.0
14.0,12.0,22.0,38.0,34.0,28.0,8.0,28.0,18.0,26.0,36.0,26.0,24.0,26.0,40.0,42.0,28.0,32.0,38.0,38.0

Averages:
10.0,14.8,14.4,19.8,23.6,26.2,20.4,27.2,27.2,27.8,29.2,30.4,26.6,29.6,31.2,33.0,32.8,26.2,34.8,33.2
Standard deviations:
3.22490309931942,5.528109984434102,5.425863986500215,7.972452571197899,5.71314274283428,7.66550715869472,6.974238309665077,7.277362159464101,7.909487973314076,6.029925372672535,5.74108003776293,6.1838499334961226,7.592101158440922,5.571355310873648,9.21737489744233,8.35463942968217,4.995998398718719,5.546169849544819,5.81033561853358,5.455272678794342



