Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598214231.610625,1598215679.4565172,1598217036.343799,1598218390.2274969,1598219762.7177632,1598221138.5193431,1598222526.683255,1598223910.967196,1598225300.310188,1598226678.2439208


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,6.0,12.0,18.0,20.0,22.0,30.0,24.0,30.0,26.0,36.0,30.0,36.0,40.0,24.0,26.0,32.0,34.0,26.0,34.0
10.0,18.0,12.0,18.0,24.0,14.0,22.0,16.0,24.0,10.0,30.0,30.0,26.0,24.0,12.0,22.0,30.0,26.0,28.0,20.0
10.0,14.0,24.0,46.0,24.0,18.0,30.0,14.0,30.0,20.0,38.0,26.0,28.0,20.0,26.0,44.0,24.0,30.0,32.0,22.0
14.0,12.0,18.0,24.0,24.0,22.0,20.0,20.0,28.0,26.0,26.0,26.0,32.0,22.0,38.0,26.0,42.0,20.0,26.0,28.0
20.0,20.0,24.0,18.0,16.0,16.0,22.0,40.0,38.0,34.0,32.0,36.0,28.0,26.0,20.0,30.0,36.0,36.0,28.0,26.0
8.0,14.0,22.0,16.0,12.0,18.0,16.0,20.0,14.0,12.0,24.0,24.0,30.0,36.0,30.0,28.0,24.0,42.0,34.0,32.0
8.0,18.0,30.0,12.0,28.0,20.0,26.0,24.0,26.0,38.0,22.0,20.0,34.0,24.0,38.0,36.0,36.0,30.0,28.0,48.0
14.0,16.0,20.0,24.0,36.0,20.0,16.0,24.0,30.0,16.0,20.0,32.0,36.0,32.0,22.0,26.0,16.0,32.0,22.0,12.0
10.0,22.0,10.0,10.0,18.0,18.0,18.0,14.0,8.0,8.0,18.0,18.0,24.0,14.0,22.0,18.0,26.0,14.0,22.0,28.0
12.0,6.0,22.0,22.0,18.0,24.0,24.0,24.0,28.0,36.0,20.0,36.0,30.0,44.0,24.0,38.0,20.0,30.0,24.0,26.0

Averages:
11.0,14.6,19.4,20.8,22.0,19.2,22.4,22.0,25.6,22.6,26.6,27.8,30.4,28.2,25.6,29.4,28.6,29.4,27.0,27.6
Standard deviations:
4.123105625617661,5.141984052872976,6.069596362197408,9.47417542586161,6.44980619863884,2.85657137141714,4.882622246293481,7.155417527999327,8.187795796183488,10.509043724335722,6.696267617113282,5.8275209137333865,3.8781438859330635,9.008884503644166,7.578918128598567,7.432361670424818,7.644605941446557,7.539230729988305,3.714835124201342,9.024411338142782



