Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598214231.610625,1598215679.4565172,1598217036.343799,1598218390.2274969,1598219762.7177632,1598221138.5193431,1598222526.683255,1598223910.967196,1598225300.310188,1598226678.2439208


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,16.0,18.0,16.0,14.0,26.0,26.0,24.0,28.0,40.0,30.0,36.0,42.0,32.0,28.0,26.0,34.0,26.0,24.0,44.0
10.0,14.0,16.0,14.0,32.0,34.0,28.0,20.0,12.0,18.0,30.0,34.0,24.0,28.0,38.0,20.0,30.0,28.0,34.0,24.0
10.0,16.0,22.0,38.0,16.0,22.0,34.0,26.0,24.0,32.0,42.0,28.0,36.0,32.0,34.0,36.0,32.0,28.0,36.0,34.0
14.0,18.0,20.0,20.0,24.0,12.0,28.0,26.0,22.0,28.0,26.0,26.0,26.0,24.0,34.0,22.0,20.0,22.0,20.0,18.0
20.0,16.0,8.0,20.0,18.0,38.0,26.0,30.0,38.0,30.0,22.0,30.0,34.0,26.0,32.0,26.0,32.0,32.0,22.0,28.0
8.0,16.0,18.0,28.0,20.0,26.0,24.0,36.0,28.0,26.0,22.0,34.0,44.0,36.0,32.0,26.0,28.0,28.0,34.0,34.0
8.0,10.0,22.0,18.0,26.0,22.0,22.0,18.0,16.0,26.0,40.0,22.0,46.0,22.0,24.0,42.0,36.0,42.0,34.0,48.0
14.0,8.0,20.0,16.0,24.0,20.0,36.0,28.0,28.0,48.0,22.0,34.0,30.0,32.0,28.0,32.0,26.0,26.0,26.0,24.0
10.0,14.0,16.0,22.0,28.0,28.0,20.0,22.0,32.0,22.0,34.0,20.0,36.0,26.0,26.0,32.0,30.0,30.0,30.0,28.0
12.0,12.0,18.0,30.0,12.0,20.0,30.0,16.0,30.0,28.0,32.0,30.0,26.0,30.0,28.0,42.0,28.0,42.0,24.0,20.0

Averages:
11.0,14.0,17.8,22.2,21.4,24.8,27.4,24.6,25.8,29.8,30.0,29.4,34.4,28.8,30.4,30.4,29.6,30.4,28.4,30.2
Standard deviations:
4.123105625617661,2.9664793948382653,3.8418745424597094,7.180529228406496,6.135144660071187,7.05407683541936,4.737087712930805,5.660388679233963,7.236021006050217,8.219489035213806,6.870225614927067,5.141984052872976,7.472616676907762,4.1182520563948,4.079215610874227,7.364781055808788,4.2708313008125245,6.311893535223801,5.571355310873648,9.357350052231668



