Accuracies BindsNET_QA proportion
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,20,100,10000,1,22.5,11.25,20,1.0,128,5,True,False,1,False


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

0.0,40.0,40.0,60.0,80.0,40.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,60.0,20.0,40.0,80.0,100.0,80.0,100.0,100.0,100.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,60.0,20.0,60.0,80.0,60.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0
0.0,60.0,0.0,60.0,80.0,100.0,80.0,80.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,80.0,20.0,60.0,80.0,100.0,80.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,80.0
0.0,60.0,60.0,40.0,60.0,80.0,80.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,40.0,40.0,60.0,60.0,80.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,20.0,20.0,60.0,100.0,40.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,60.0,60.0,80.0,60.0,80.0,60.0,100.0,100.0,80.0,100.0,60.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0
0.0,20.0,20.0,60.0,80.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0

Averages:
0.0,50.0,30.0,58.0,76.0,76.0,86.0,96.0,94.0,92.0,96.0,88.0,100.0,100.0,100.0,96.0,98.0,100.0,100.0,98.0
Standard deviations:
0.0,18.439088914585774,18.439088914585774,10.770329614269007,12.0,21.540659228538015,12.806248474865697,8.0,9.16515138991168,9.797958971132712,8.0,13.2664991614216,0.0,0.0,0.0,8.0,6.0,0.0,0.0,6.0



