Accuracies BindsNET_QA proportion
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,30,100,10000,1,22.5,22.5,20,1.0,128,5,True,False,20,False


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

40.0,40.0,20.0,20.0,40.0,60.0,80.0,60.0,100.0,80.0,80.0,80.0,80.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0
40.0,0.0,40.0,80.0,20.0,40.0,100.0,40.0,100.0,100.0,80.0,80.0,100.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0
40.0,20.0,40.0,20.0,60.0,80.0,40.0,60.0,80.0,80.0,80.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0
40.0,20.0,40.0,40.0,40.0,40.0,80.0,80.0,60.0,80.0,80.0,80.0,80.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0
40.0,60.0,40.0,60.0,60.0,20.0,80.0,40.0,60.0,100.0,100.0,80.0,80.0,100.0,80.0,80.0,100.0,100.0,100.0,100.0
40.0,20.0,40.0,40.0,40.0,80.0,20.0,80.0,100.0,80.0,100.0,100.0,80.0,60.0,80.0,100.0,100.0,100.0,100.0,100.0
40.0,60.0,40.0,0.0,20.0,40.0,100.0,60.0,100.0,100.0,60.0,60.0,100.0,100.0,100.0,60.0,60.0,100.0,100.0,100.0
40.0,0.0,40.0,40.0,40.0,40.0,80.0,80.0,80.0,80.0,80.0,60.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0
40.0,40.0,40.0,20.0,40.0,60.0,60.0,100.0,100.0,100.0,80.0,40.0,80.0,100.0,80.0,60.0,100.0,100.0,100.0,100.0
40.0,40.0,40.0,40.0,0.0,60.0,80.0,80.0,80.0,100.0,80.0,40.0,80.0,60.0,80.0,100.0,80.0,80.0,100.0,100.0

Averages:
40.0,30.0,38.0,36.0,36.0,52.0,72.0,68.0,86.0,90.0,82.0,72.0,86.0,86.0,84.0,90.0,90.0,98.0,100.0,100.0
Standard deviations:
0.0,20.493901531919196,6.0,21.540659228538015,17.435595774162696,18.33030277982336,24.0,18.33030277982336,15.620499351813308,10.0,10.770329614269007,20.396078054371138,9.16515138991168,18.0,8.0,16.1245154965971,13.416407864998739,6.0,0.0,0.0



