Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,120.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597969407.2293031,1597970783.607572,1597972157.111831,1597973549.772533,1597974936.962455,1597976338.2177658,1597977723.866105,1597979126.8658829,1597980539.364911,1597981988.907472


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,8.0,4.0,16.0,14.0,24.0,14.0,24.0,30.0,36.0,38.0,26.0,28.0,28.0,32.0,34.0,40.0,30.0,22.0,32.0
6.0,12.0,12.0,20.0,30.0,28.0,30.0,18.0,36.0,26.0,34.0,50.0,28.0,44.0,26.0,38.0,38.0,42.0,40.0,34.0
20.0,14.0,22.0,22.0,22.0,28.0,40.0,34.0,46.0,42.0,22.0,34.0,46.0,36.0,38.0,44.0,38.0,38.0,32.0,50.0
10.0,20.0,14.0,18.0,20.0,36.0,28.0,40.0,32.0,22.0,26.0,30.0,36.0,30.0,44.0,48.0,38.0,40.0,44.0,40.0
8.0,16.0,8.0,18.0,26.0,34.0,32.0,34.0,28.0,42.0,18.0,36.0,36.0,32.0,46.0,40.0,42.0,42.0,40.0,40.0
10.0,10.0,6.0,12.0,10.0,24.0,38.0,28.0,24.0,22.0,28.0,28.0,50.0,44.0,34.0,42.0,26.0,30.0,42.0,28.0
8.0,10.0,18.0,12.0,24.0,28.0,26.0,34.0,40.0,38.0,40.0,34.0,48.0,50.0,44.0,34.0,42.0,62.0,48.0,38.0
4.0,18.0,14.0,18.0,10.0,24.0,40.0,24.0,22.0,24.0,44.0,36.0,44.0,44.0,44.0,38.0,54.0,32.0,36.0,40.0
14.0,10.0,22.0,10.0,8.0,24.0,16.0,18.0,18.0,36.0,36.0,34.0,34.0,28.0,30.0,34.0,42.0,42.0,42.0,48.0
10.0,14.0,14.0,32.0,34.0,38.0,44.0,28.0,34.0,30.0,40.0,46.0,40.0,40.0,30.0,32.0,32.0,46.0,40.0,44.0

Averages:
9.8,13.2,13.4,17.8,19.8,28.8,30.8,28.2,31.0,31.8,32.6,35.4,39.0,37.6,36.8,38.4,39.2,40.4,38.6,39.4
Standard deviations:
4.237924020083418,3.7094473981982814,5.868560300448484,5.96322060635023,8.55336191213724,5.075431016179809,9.64157663455516,6.954135460285484,8.06225774829855,7.56042326857432,8.2,7.102112361825881,7.496665925596525,7.472616676907761,6.9397406291589885,4.882622246293481,6.881860213634101,8.935323161475472,6.873136110975833,6.514598989960933



