Accuracies BindsNET_bad_zero all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,120.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597822628.309589,1597824030.130046,1597825480.747635,1597826915.207006,1597828346.046283,1597829758.618565,1597831221.735994,1597832638.6227121,1597834153.471854,1597835700.020562


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,8.0,16.0,10.0,12.0,6.0,6.0,8.0,12.0,6.0,16.0,8.0,8.0,4.0,16.0,6.0,14.0,4.0,20.0,12.0
12.0,6.0,6.0,6.0,10.0,12.0,10.0,6.0,0.0,12.0,4.0,10.0,6.0,8.0,4.0,8.0,6.0,10.0,12.0,2.0
12.0,8.0,14.0,8.0,18.0,12.0,8.0,2.0,12.0,12.0,10.0,10.0,20.0,8.0,8.0,12.0,10.0,10.0,8.0,8.0
14.0,8.0,8.0,18.0,6.0,6.0,6.0,8.0,10.0,8.0,8.0,18.0,18.0,8.0,14.0,10.0,10.0,2.0,10.0,2.0
12.0,12.0,6.0,12.0,10.0,6.0,6.0,18.0,6.0,12.0,20.0,8.0,6.0,18.0,6.0,12.0,12.0,2.0,18.0,6.0
6.0,4.0,14.0,8.0,10.0,2.0,14.0,16.0,14.0,14.0,18.0,8.0,6.0,6.0,14.0,12.0,16.0,10.0,16.0,8.0
8.0,10.0,20.0,6.0,12.0,12.0,6.0,4.0,16.0,8.0,0.0,10.0,4.0,6.0,8.0,6.0,12.0,2.0,10.0,8.0
16.0,14.0,12.0,10.0,10.0,14.0,16.0,14.0,6.0,12.0,8.0,16.0,4.0,4.0,14.0,10.0,16.0,8.0,16.0,10.0
14.0,8.0,8.0,14.0,14.0,14.0,12.0,16.0,12.0,4.0,8.0,4.0,8.0,12.0,2.0,10.0,0.0,10.0,10.0,12.0
14.0,6.0,12.0,6.0,14.0,4.0,6.0,6.0,14.0,8.0,4.0,4.0,8.0,12.0,10.0,10.0,12.0,6.0,8.0,16.0

Averages:
11.6,8.4,11.6,9.8,11.6,8.8,9.0,9.8,10.2,9.6,9.6,9.6,8.8,8.6,9.6,9.6,10.8,6.4,12.8,8.4
Standard deviations:
3.0724582991474434,2.8000000000000003,4.363484845854286,3.736308338453881,3.0724582991474434,4.214261501141095,3.605551275463989,5.3999999999999995,4.6000000000000005,3.0724582991474434,6.1838499334961226,4.2708313008125245,5.3065996645686395,4.1036569057366385,4.5431266766402185,2.154065922853802,4.578209256903839,3.4409301068170506,4.1182520563948,4.17612260356422



