Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,120.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597924710.522368,1597926110.08394,1597927583.3414102,1597929413.447511,1597931491.983155,1597933054.006933,1597934774.848303,1597936530.6885319,1597938276.62952,1597939894.035297


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,16.0,6.0,26.0,24.0,42.0,36.0,34.0,28.0,36.0,38.0,40.0,24.0,40.0,34.0,34.0,32.0,40.0,38.0,44.0
10.0,6.0,14.0,12.0,14.0,30.0,26.0,20.0,20.0,24.0,26.0,18.0,38.0,48.0,24.0,34.0,20.0,40.0,32.0,36.0
18.0,20.0,24.0,22.0,20.0,22.0,16.0,28.0,32.0,38.0,34.0,40.0,40.0,28.0,28.0,36.0,46.0,42.0,26.0,40.0
12.0,10.0,20.0,22.0,32.0,12.0,30.0,26.0,28.0,18.0,38.0,34.0,48.0,42.0,52.0,32.0,30.0,34.0,38.0,48.0
12.0,22.0,24.0,22.0,22.0,28.0,26.0,32.0,28.0,36.0,22.0,32.0,24.0,34.0,30.0,48.0,30.0,44.0,42.0,36.0
12.0,16.0,18.0,16.0,18.0,26.0,38.0,34.0,46.0,38.0,38.0,42.0,36.0,30.0,50.0,42.0,32.0,38.0,48.0,52.0
4.0,14.0,30.0,18.0,16.0,32.0,34.0,30.0,36.0,20.0,42.0,24.0,44.0,20.0,34.0,46.0,60.0,36.0,38.0,54.0
10.0,12.0,22.0,26.0,24.0,24.0,30.0,38.0,44.0,46.0,36.0,38.0,26.0,50.0,42.0,48.0,44.0,40.0,38.0,46.0
8.0,12.0,20.0,24.0,36.0,24.0,50.0,38.0,54.0,32.0,38.0,30.0,38.0,40.0,38.0,38.0,50.0,60.0,34.0,50.0
8.0,12.0,18.0,26.0,22.0,24.0,28.0,30.0,28.0,34.0,42.0,40.0,48.0,36.0,46.0,36.0,44.0,40.0,48.0,34.0

Averages:
10.0,14.0,19.6,21.4,22.8,26.4,31.4,31.0,34.4,32.2,35.4,33.8,36.6,36.8,37.8,39.4,38.8,41.4,38.2,44.0
Standard deviations:
3.687817782917155,4.47213595499958,6.118823416311343,4.476605857119878,6.462197768561405,7.310266752998827,8.534635317340747,5.2345009313209605,9.951884243699784,8.411896337925237,6.2,7.507329751649385,8.720091742636656,8.726969691708572,9.008884503644165,5.8,11.320777358467925,6.755738301621815,6.4156059729381765,6.81175454637056



