Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,50,False

Seeds:,1597008983.802212,1597025489.359761,1597041976.808566,1597059115.284705,1597076118.905036,1597093388.718365,1597109873.43522,1597126423.3974972,1597143186.479754,1597160224.560459


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,4.0,6.0,26.0,32.0,22.0,42.0,36.0,32.0,34.0,38.0,38.0,34.0,30.0,32.0,34.0,40.0,32.0,44.0,36.0
6.0,12.0,18.0,14.0,22.0,18.0,10.0,20.0,30.0,20.0,28.0,32.0,22.0,36.0,34.0,38.0,38.0,48.0,46.0,28.0
8.0,12.0,8.0,14.0,20.0,32.0,36.0,26.0,20.0,40.0,34.0,40.0,48.0,34.0,34.0,34.0,28.0,36.0,44.0,36.0
8.0,22.0,22.0,20.0,38.0,26.0,22.0,50.0,52.0,36.0,50.0,54.0,44.0,26.0,42.0,30.0,38.0,36.0,44.0,32.0
6.0,14.0,4.0,28.0,24.0,18.0,22.0,10.0,26.0,34.0,16.0,36.0,50.0,48.0,38.0,44.0,44.0,44.0,40.0,52.0
12.0,10.0,14.0,20.0,36.0,14.0,12.0,16.0,28.0,22.0,28.0,34.0,36.0,34.0,56.0,52.0,40.0,36.0,48.0,44.0
8.0,24.0,18.0,16.0,12.0,32.0,24.0,30.0,50.0,32.0,40.0,46.0,44.0,38.0,44.0,40.0,48.0,32.0,44.0,50.0
18.0,8.0,12.0,18.0,32.0,20.0,18.0,22.0,28.0,30.0,26.0,16.0,28.0,32.0,18.0,40.0,40.0,18.0,36.0,22.0
2.0,14.0,18.0,24.0,20.0,22.0,12.0,22.0,26.0,26.0,28.0,20.0,36.0,34.0,24.0,42.0,26.0,40.0,44.0,46.0
12.0,10.0,8.0,26.0,34.0,34.0,24.0,26.0,18.0,22.0,36.0,34.0,34.0,38.0,34.0,54.0,36.0,38.0,28.0,22.0

Averages:
8.8,13.0,12.8,20.6,27.0,23.8,22.2,25.8,31.0,29.6,32.4,35.0,37.6,35.0,35.6,40.8,37.8,36.0,41.8,36.8
Standard deviations:
4.1182520563948,5.744562646538029,5.81033561853358,4.903060268852506,8.1117199162693,6.539113089708726,9.81631295344642,10.562196741208716,10.779610382569492,6.437390775772434,8.845337754998392,10.554619841567009,8.428523002282192,5.531726674375733,9.991996797437437,7.277362159464101,6.289674077406556,7.64198926981712,5.546169849544819,10.4



