Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,50,False

Seeds:,1597008983.802212,1597025489.359761,1597041976.808566,1597059115.284705,1597076118.905036,1597093388.718365,1597109873.43522,1597126423.3974972,1597143186.479754,1597160224.560459


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,4.0,22.0,28.0,18.0,18.0,24.0,18.0,16.0,36.0,46.0,46.0,26.0,44.0,38.0,40.0,56.0,50.0,50.0,42.0
6.0,8.0,16.0,30.0,30.0,24.0,24.0,40.0,36.0,32.0,26.0,34.0,24.0,20.0,28.0,52.0,44.0,44.0,54.0,40.0
8.0,8.0,8.0,22.0,16.0,10.0,34.0,32.0,18.0,42.0,28.0,30.0,30.0,40.0,30.0,36.0,28.0,34.0,34.0,30.0
8.0,8.0,30.0,42.0,36.0,22.0,10.0,30.0,46.0,20.0,44.0,50.0,30.0,30.0,24.0,40.0,50.0,48.0,44.0,30.0
6.0,14.0,18.0,22.0,16.0,12.0,18.0,24.0,22.0,14.0,32.0,26.0,40.0,56.0,54.0,38.0,44.0,28.0,44.0,58.0
12.0,26.0,26.0,26.0,20.0,30.0,36.0,36.0,20.0,40.0,12.0,20.0,34.0,40.0,40.0,36.0,36.0,36.0,36.0,36.0
8.0,16.0,28.0,32.0,30.0,40.0,34.0,40.0,16.0,36.0,32.0,48.0,50.0,52.0,36.0,44.0,30.0,28.0,32.0,26.0
18.0,20.0,20.0,12.0,18.0,16.0,20.0,28.0,16.0,44.0,28.0,20.0,38.0,32.0,18.0,40.0,50.0,36.0,34.0,34.0
2.0,14.0,16.0,22.0,22.0,22.0,14.0,22.0,18.0,34.0,32.0,40.0,38.0,30.0,46.0,42.0,34.0,52.0,40.0,42.0
12.0,12.0,24.0,36.0,28.0,36.0,30.0,30.0,30.0,58.0,36.0,32.0,38.0,56.0,38.0,32.0,32.0,46.0,52.0,38.0

Averages:
8.8,13.0,20.8,27.2,23.4,23.0,24.4,30.0,23.8,35.6,31.6,34.6,34.8,40.0,35.2,40.0,40.4,40.2,42.0,37.6
Standard deviations:
4.1182520563948,6.212889826803627,6.273754856543249,8.009993757800315,6.696267617113282,9.348796714016196,8.522910301065007,6.985699678629192,9.734474818910366,11.655041827466773,9.068627239003707,10.509043724335722,7.277362159464101,11.55854662143991,10.047885349664377,5.138093031466052,9.200000000000001,8.45931439302264,7.64198926981712,8.522910301065007



