Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,50,False

Seeds:,1597008983.802212,1597025489.359761,1597041976.808566,1597059115.284705,1597076118.905036,1597093388.718365,1597109873.43522,1597126423.3974972,1597143186.479754,1597160224.560459


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,12.0,6.0,18.0,6.0,16.0,2.0,8.0,10.0,10.0,12.0,12.0,10.0,14.0,10.0,22.0,22.0,12.0,6.0,8.0
6.0,8.0,12.0,12.0,6.0,6.0,18.0,12.0,6.0,10.0,8.0,12.0,10.0,8.0,4.0,14.0,8.0,6.0,16.0,14.0
8.0,12.0,8.0,10.0,10.0,20.0,14.0,8.0,8.0,4.0,10.0,6.0,12.0,10.0,20.0,10.0,10.0,14.0,10.0,6.0
8.0,12.0,14.0,4.0,18.0,8.0,8.0,8.0,2.0,14.0,14.0,4.0,14.0,10.0,12.0,2.0,12.0,10.0,10.0,16.0
6.0,4.0,20.0,16.0,14.0,16.0,12.0,14.0,8.0,10.0,12.0,12.0,10.0,2.0,6.0,8.0,12.0,10.0,12.0,10.0
12.0,4.0,8.0,6.0,6.0,12.0,14.0,10.0,6.0,12.0,10.0,8.0,4.0,16.0,12.0,12.0,10.0,12.0,6.0,6.0
8.0,12.0,4.0,6.0,6.0,16.0,2.0,12.0,12.0,12.0,6.0,14.0,10.0,8.0,8.0,2.0,10.0,4.0,10.0,4.0
18.0,0.0,14.0,12.0,10.0,4.0,12.0,14.0,6.0,6.0,16.0,12.0,8.0,10.0,12.0,6.0,2.0,2.0,10.0,8.0
2.0,4.0,14.0,16.0,14.0,6.0,8.0,4.0,8.0,16.0,16.0,12.0,8.0,14.0,8.0,8.0,16.0,20.0,10.0,6.0
12.0,10.0,20.0,10.0,8.0,16.0,8.0,10.0,6.0,4.0,10.0,16.0,8.0,10.0,8.0,4.0,20.0,4.0,14.0,14.0

Averages:
8.8,7.8,12.0,11.0,9.8,12.0,9.8,10.0,7.2,9.8,11.4,10.8,9.4,10.2,10.0,8.8,12.2,9.4,10.4,9.2
Standard deviations:
4.1182520563948,4.237924020083418,5.215361924162119,4.494441010848846,4.044749683231337,5.291502622129181,4.935585071701227,2.9664793948382653,2.5612496949731396,3.8418745424597094,3.104834939252005,3.4871191548325386,2.5377155080899043,3.736308338453881,4.1952353926806065,5.81033561853358,5.546169849544819,5.219195340279955,2.9393876913398134,3.9191835884530852



