Accuracies BindsNET_bad_zero proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,50,False

Seeds:,1597008983.802212,1597025489.359761,1597041976.808566,1597059115.284705,1597076118.905036,1597093388.718365,1597109873.43522,1597126423.3974972,1597143186.479754,1597160224.560459


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,16.0,8.0,10.0,12.0,12.0,12.0,2.0,12.0,4.0,14.0,18.0,8.0,8.0,14.0,6.0,10.0,12.0,8.0,14.0
6.0,16.0,10.0,14.0,8.0,8.0,8.0,4.0,6.0,8.0,12.0,4.0,8.0,16.0,12.0,16.0,6.0,20.0,6.0,8.0
8.0,0.0,10.0,6.0,12.0,10.0,10.0,16.0,12.0,12.0,8.0,8.0,18.0,14.0,12.0,6.0,8.0,20.0,6.0,10.0
8.0,6.0,14.0,6.0,6.0,8.0,8.0,10.0,18.0,8.0,8.0,10.0,10.0,4.0,14.0,10.0,2.0,6.0,12.0,8.0
6.0,8.0,6.0,16.0,6.0,8.0,10.0,10.0,8.0,4.0,8.0,12.0,12.0,14.0,8.0,10.0,12.0,4.0,12.0,20.0
12.0,6.0,8.0,10.0,14.0,6.0,6.0,10.0,16.0,8.0,2.0,6.0,10.0,4.0,8.0,10.0,6.0,16.0,16.0,6.0
8.0,16.0,12.0,12.0,10.0,18.0,6.0,10.0,28.0,10.0,14.0,12.0,10.0,12.0,12.0,10.0,8.0,12.0,8.0,12.0
18.0,12.0,6.0,8.0,14.0,10.0,4.0,8.0,12.0,10.0,8.0,24.0,14.0,8.0,8.0,12.0,10.0,4.0,8.0,12.0
2.0,16.0,8.0,10.0,6.0,6.0,8.0,2.0,2.0,10.0,12.0,18.0,14.0,10.0,14.0,12.0,4.0,2.0,12.0,8.0
12.0,12.0,8.0,10.0,8.0,8.0,8.0,4.0,4.0,12.0,8.0,18.0,18.0,10.0,6.0,2.0,6.0,6.0,10.0,14.0

Averages:
8.8,10.8,9.0,10.2,9.6,9.4,8.0,7.6,11.8,8.6,9.4,13.0,12.2,10.0,10.8,9.4,7.2,10.2,9.8,11.2
Standard deviations:
4.1182520563948,5.3065996645686395,2.4083189157584592,3.026549190084312,3.0724582991474434,3.352610922848042,2.1908902300206643,4.2708313008125245,7.236021006050217,2.6907248094147422,3.4698703145794947,6.016643582596529,3.5156791662493894,3.8987177379235853,2.85657137141714,3.693237062523877,2.85657137141714,6.4156059729381765,3.0265491900843116,3.9191835884530857



