Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1596910583.5853848,1596912036.216351,1596913646.752039,1596915120.1670332,1596916520.179734,1596917912.59899,1596919305.143052,1596920694.064092,1596922102.197331,1596923504.920226


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,14.0,20.0,34.0,20.0,18.0,22.0,36.0,38.0,26.0,42.0,48.0,38.0,38.0,36.0,34.0,40.0,62.0,30.0,38.0
10.0,14.0,18.0,20.0,18.0,22.0,34.0,26.0,28.0,40.0,32.0,36.0,26.0,34.0,36.0,36.0,30.0,30.0,34.0,44.0
14.0,10.0,22.0,22.0,12.0,18.0,28.0,24.0,34.0,22.0,18.0,30.0,24.0,20.0,24.0,44.0,38.0,44.0,34.0,28.0
14.0,10.0,22.0,16.0,30.0,18.0,26.0,32.0,32.0,30.0,52.0,26.0,42.0,30.0,48.0,46.0,36.0,40.0,42.0,44.0
4.0,18.0,24.0,20.0,22.0,18.0,30.0,48.0,30.0,28.0,32.0,40.0,20.0,30.0,40.0,38.0,42.0,36.0,46.0,44.0
2.0,12.0,42.0,30.0,28.0,28.0,32.0,34.0,36.0,58.0,50.0,50.0,44.0,38.0,38.0,30.0,38.0,40.0,54.0,32.0
6.0,14.0,18.0,26.0,12.0,24.0,22.0,30.0,24.0,46.0,34.0,38.0,34.0,30.0,48.0,46.0,40.0,38.0,30.0,36.0
18.0,20.0,12.0,18.0,26.0,40.0,36.0,22.0,34.0,40.0,38.0,34.0,28.0,32.0,28.0,38.0,38.0,42.0,54.0,42.0
8.0,20.0,12.0,12.0,16.0,34.0,28.0,32.0,26.0,24.0,30.0,34.0,44.0,36.0,44.0,42.0,34.0,32.0,46.0,54.0
16.0,10.0,14.0,30.0,26.0,26.0,30.0,18.0,16.0,36.0,38.0,34.0,42.0,40.0,58.0,50.0,52.0,48.0,30.0,32.0

Averages:
10.2,14.2,20.4,22.8,21.0,24.6,28.8,30.2,29.8,35.0,36.6,37.0,34.2,32.8,40.0,40.4,38.8,41.2,40.0,39.4
Standard deviations:
5.015974481593781,3.7363083384538807,8.2365041127896,6.64529909033446,6.148170459575759,7.213875518748574,4.4,8.022468448052633,6.2257529665093525,10.705138952858109,9.425497334358543,7.05691150575094,8.6,5.528109984434101,9.50789145920377,5.919459434779497,5.455272678794342,8.588364221433556,9.16515138991168,7.323933369440223



