Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1596975270.2181408,1596976110.161598,1596976982.30127,1596977897.793325,1596978791.416076,1596979660.582239,1596980516.009084,1596981374.6817029,1596982219.339654,1596983076.040925


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

18.0,20.0,16.0,16.0,12.0,28.0,22.0,28.0,18.0,30.0,20.0,24.0,42.0,34.0,26.0,36.0,48.0,18.0,42.0,40.0
8.0,6.0,20.0,20.0,24.0,20.0,26.0,32.0,24.0,34.0,36.0,32.0,42.0,36.0,48.0,52.0,46.0,42.0,44.0,44.0
4.0,10.0,16.0,26.0,36.0,24.0,36.0,34.0,40.0,48.0,36.0,42.0,44.0,56.0,42.0,52.0,48.0,52.0,52.0,30.0
12.0,10.0,28.0,36.0,28.0,42.0,30.0,34.0,40.0,48.0,46.0,44.0,44.0,32.0,42.0,34.0,48.0,40.0,54.0,40.0
14.0,14.0,14.0,18.0,36.0,40.0,36.0,38.0,34.0,48.0,22.0,32.0,48.0,30.0,36.0,50.0,48.0,54.0,48.0,40.0
6.0,22.0,18.0,20.0,16.0,24.0,40.0,28.0,38.0,42.0,46.0,24.0,28.0,50.0,36.0,44.0,48.0,42.0,36.0,36.0
4.0,8.0,14.0,14.0,20.0,24.0,18.0,30.0,44.0,50.0,40.0,30.0,38.0,28.0,38.0,46.0,46.0,30.0,42.0,40.0
6.0,8.0,30.0,26.0,30.0,38.0,26.0,32.0,28.0,16.0,28.0,14.0,34.0,46.0,34.0,26.0,50.0,42.0,38.0,54.0
6.0,6.0,30.0,42.0,40.0,36.0,26.0,36.0,34.0,32.0,52.0,60.0,44.0,60.0,56.0,38.0,44.0,36.0,44.0,48.0
4.0,12.0,4.0,12.0,16.0,24.0,18.0,20.0,20.0,20.0,32.0,24.0,26.0,26.0,30.0,38.0,20.0,38.0,42.0,30.0

Averages:
8.2,11.6,19.0,23.0,25.8,30.0,27.8,31.2,32.0,36.8,35.8,32.6,39.0,39.8,38.8,41.6,44.6,39.4,44.2,40.2
Standard deviations:
4.6000000000000005,5.276362383309169,7.861297602813418,9.17605579756357,9.228217596047463,7.694153624668538,7.236021006050217,4.833218389437829,8.579044235810887,11.702991070662234,10.017983829094554,12.427389106324787,7.0,11.60861748874516,8.255906976220118,8.187795796183488,8.345058418010026,9.759098319004682,5.4,7.011419257183242



