Accuracies BindsNET_bad_zero proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1596975270.2181408,1596976110.161598,1596976982.30127,1596977897.793325,1596978791.416076,1596979660.582239,1596980516.009084,1596981374.6817029,1596982219.339654,1596983076.040925


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

18.0,10.0,8.0,2.0,12.0,10.0,2.0,4.0,8.0,8.0,10.0,12.0,14.0,2.0,10.0,10.0,12.0,2.0,10.0,8.0
8.0,8.0,2.0,4.0,6.0,6.0,4.0,14.0,6.0,6.0,16.0,10.0,8.0,6.0,6.0,8.0,6.0,16.0,8.0,10.0
4.0,4.0,14.0,8.0,8.0,10.0,8.0,2.0,8.0,8.0,8.0,8.0,16.0,12.0,8.0,8.0,2.0,6.0,12.0,6.0
12.0,22.0,12.0,6.0,18.0,10.0,8.0,14.0,8.0,8.0,12.0,2.0,8.0,12.0,6.0,12.0,16.0,12.0,14.0,10.0
14.0,2.0,4.0,6.0,4.0,16.0,8.0,12.0,8.0,2.0,2.0,14.0,18.0,20.0,22.0,4.0,10.0,8.0,10.0,10.0
6.0,10.0,8.0,12.0,6.0,8.0,8.0,10.0,12.0,10.0,4.0,8.0,4.0,10.0,8.0,22.0,16.0,18.0,10.0,8.0
4.0,6.0,12.0,12.0,10.0,6.0,8.0,8.0,6.0,4.0,4.0,10.0,6.0,10.0,10.0,8.0,12.0,2.0,8.0,4.0
6.0,8.0,6.0,14.0,10.0,8.0,4.0,4.0,18.0,6.0,6.0,6.0,12.0,12.0,10.0,4.0,6.0,6.0,14.0,12.0
6.0,2.0,6.0,14.0,2.0,6.0,8.0,8.0,12.0,24.0,8.0,8.0,16.0,14.0,12.0,12.0,8.0,12.0,6.0,20.0
4.0,10.0,8.0,4.0,12.0,10.0,6.0,8.0,6.0,8.0,18.0,10.0,4.0,8.0,2.0,4.0,10.0,14.0,10.0,16.0

Averages:
8.2,8.2,8.0,8.2,8.8,9.0,6.4,8.4,9.2,8.4,8.8,8.8,10.6,10.6,9.4,9.2,9.8,9.6,10.2,10.4
Standard deviations:
4.6000000000000005,5.473572873361603,3.5777087639996634,4.237924020083418,4.4,2.8635642126552705,2.154065922853802,3.97994974842648,3.6,5.642694391866354,4.995998398718719,3.1240998703626617,4.983974317750845,4.565084884205332,4.983974317750845,5.1536394906900505,4.237924020083418,5.3516352641038605,2.4413111231467406,4.454211490264018



