Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1598259547.389905,1598260309.398422,1598261058.2680142,1598261808.116072,1598262568.144728,1598263318.839505,1598264075.5539541,1598264864.432534,1598265628.568779,1598266397.329912


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,6.0,14.0,4.0,6.0,12.0,14.0,4.0,12.0,4.0,12.0,10.0,6.0,2.0,10.0,14.0,8.0,10.0,10.0,8.0
10.0,6.0,6.0,6.0,6.0,14.0,6.0,20.0,20.0,22.0,14.0,6.0,12.0,12.0,12.0,8.0,10.0,2.0,14.0,6.0
6.0,12.0,14.0,12.0,12.0,14.0,10.0,12.0,10.0,8.0,10.0,12.0,10.0,12.0,8.0,10.0,4.0,8.0,8.0,14.0
8.0,14.0,10.0,10.0,12.0,12.0,6.0,6.0,14.0,16.0,14.0,20.0,8.0,4.0,18.0,4.0,16.0,18.0,8.0,8.0
8.0,18.0,6.0,8.0,12.0,10.0,10.0,14.0,2.0,14.0,6.0,18.0,10.0,12.0,12.0,10.0,4.0,12.0,6.0,12.0
8.0,4.0,16.0,4.0,6.0,4.0,14.0,12.0,8.0,10.0,8.0,8.0,10.0,12.0,4.0,6.0,12.0,4.0,16.0,6.0
6.0,14.0,10.0,10.0,8.0,16.0,6.0,12.0,12.0,16.0,12.0,8.0,4.0,4.0,14.0,10.0,12.0,16.0,14.0,12.0
4.0,6.0,8.0,16.0,10.0,16.0,10.0,8.0,14.0,8.0,16.0,22.0,8.0,4.0,16.0,14.0,2.0,14.0,16.0,18.0
2.0,2.0,8.0,8.0,12.0,18.0,6.0,8.0,10.0,6.0,8.0,10.0,18.0,12.0,12.0,4.0,8.0,8.0,6.0,4.0
12.0,8.0,4.0,10.0,10.0,10.0,14.0,8.0,8.0,10.0,4.0,14.0,2.0,20.0,16.0,6.0,6.0,12.0,10.0,8.0

Averages:
7.6,9.0,9.6,8.8,9.4,12.6,9.6,10.4,11.0,11.4,10.4,12.8,8.8,9.4,12.2,8.6,8.2,10.4,10.8,9.6
Standard deviations:
3.0724582991474434,4.919349550499537,3.7735924528226414,3.4871191548325386,2.537715508089904,3.8,3.3226495451672298,4.363484845854286,4.494441010848846,5.219195340279955,3.6660605559646724,5.230678732248808,4.214261501141095,5.370288632839021,3.944616584663204,3.4698703145794947,4.142463035441596,4.8,3.7094473981982814,4.079215610874228



