Accuracies BindsNET_bad_zero proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1598355290.591757,1598356140.1815848,1598356933.848664,1598357876.6765928,1598358758.6687622,1598359629.9761028,1598360413.168163,1598361181.754997,1598361951.067656,1598362715.902047


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,6.0,0.0,4.0,8.0,16.0,8.0,10.0,10.0,6.0,8.0,6.0,8.0,10.0,20.0,8.0,12.0,2.0,16.0,12.0
8.0,10.0,12.0,10.0,10.0,4.0,14.0,14.0,14.0,14.0,6.0,6.0,4.0,4.0,14.0,6.0,4.0,12.0,2.0,10.0
10.0,12.0,14.0,6.0,12.0,10.0,6.0,6.0,6.0,8.0,18.0,14.0,14.0,8.0,10.0,8.0,8.0,10.0,4.0,6.0
6.0,10.0,12.0,16.0,14.0,8.0,14.0,8.0,6.0,4.0,10.0,14.0,6.0,12.0,12.0,14.0,10.0,8.0,12.0,10.0
10.0,8.0,14.0,12.0,12.0,14.0,8.0,6.0,8.0,20.0,8.0,8.0,2.0,4.0,14.0,4.0,10.0,6.0,8.0,10.0
16.0,14.0,8.0,2.0,10.0,14.0,12.0,14.0,4.0,8.0,14.0,4.0,2.0,6.0,8.0,4.0,6.0,12.0,4.0,10.0
18.0,8.0,10.0,10.0,14.0,18.0,8.0,4.0,8.0,12.0,6.0,10.0,12.0,10.0,10.0,18.0,2.0,16.0,12.0,12.0
18.0,6.0,6.0,16.0,16.0,14.0,2.0,8.0,10.0,10.0,6.0,4.0,12.0,8.0,8.0,6.0,6.0,8.0,10.0,14.0
8.0,2.0,8.0,10.0,8.0,10.0,6.0,6.0,6.0,6.0,8.0,6.0,10.0,2.0,14.0,14.0,2.0,10.0,4.0,8.0
10.0,10.0,10.0,10.0,14.0,10.0,8.0,10.0,10.0,12.0,12.0,6.0,6.0,4.0,18.0,12.0,10.0,18.0,14.0,12.0

Averages:
11.4,8.6,9.4,9.6,11.8,11.8,8.6,8.6,8.2,10.0,9.6,7.8,7.6,6.8,12.8,9.4,7.0,10.2,8.6,10.4
Standard deviations:
4.1036569057366385,3.2310988842807027,4.004996878900157,4.363484845854286,2.6,3.944616584663205,3.5832945734337835,3.2310988842807027,2.7495454169735045,4.47213595499958,3.7735924528226414,3.5156791662493894,4.079215610874228,3.1240998703626617,3.8157568056677826,4.565084884205331,3.3763886032268267,4.422668877499197,4.651881339845203,2.154065922853802



