Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1597352588.665343,1597354019.765756,1597355413.330558,1597356809.731219,1597358198.129313,1597359585.190665,1597360962.948307,1597362357.1831748,1597363760.121634,1597365158.777219


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,14.0,12.0,30.0,10.0,26.0,18.0,22.0,18.0,12.0,18.0,30.0,26.0,18.0,20.0,20.0,24.0,32.0,20.0,24.0
2.0,18.0,14.0,14.0,18.0,12.0,14.0,18.0,30.0,30.0,24.0,12.0,32.0,30.0,36.0,32.0,32.0,28.0,20.0,30.0
8.0,4.0,4.0,22.0,22.0,28.0,44.0,28.0,18.0,18.0,22.0,30.0,20.0,34.0,26.0,28.0,32.0,28.0,36.0,28.0
16.0,12.0,14.0,18.0,24.0,24.0,24.0,36.0,26.0,18.0,18.0,20.0,18.0,24.0,32.0,18.0,30.0,26.0,28.0,26.0
10.0,6.0,18.0,20.0,16.0,22.0,18.0,20.0,22.0,34.0,26.0,26.0,30.0,6.0,22.0,28.0,32.0,18.0,18.0,20.0
6.0,12.0,22.0,14.0,28.0,24.0,14.0,20.0,22.0,22.0,28.0,40.0,34.0,32.0,26.0,22.0,36.0,24.0,28.0,26.0
8.0,6.0,16.0,16.0,20.0,16.0,30.0,20.0,22.0,16.0,18.0,28.0,20.0,24.0,26.0,16.0,20.0,28.0,34.0,38.0
8.0,16.0,24.0,18.0,18.0,14.0,14.0,24.0,28.0,16.0,36.0,36.0,32.0,38.0,32.0,28.0,34.0,28.0,34.0,46.0
8.0,14.0,14.0,18.0,30.0,24.0,24.0,20.0,24.0,30.0,26.0,28.0,16.0,22.0,42.0,24.0,36.0,24.0,34.0,30.0
12.0,4.0,10.0,8.0,12.0,26.0,12.0,12.0,14.0,18.0,24.0,26.0,32.0,26.0,26.0,32.0,36.0,24.0,34.0,16.0

Averages:
8.8,10.6,14.8,17.8,19.8,21.6,21.2,22.0,22.4,21.4,24.0,27.6,26.0,25.4,28.8,24.8,31.2,26.0,28.6,28.4
Standard deviations:
3.4871191548325386,4.903060268852505,5.455272678794342,5.473572873361603,6.095900261651268,5.276362383309168,9.34665715643834,6.06630035524124,4.63033476111609,6.988562083862459,5.291502622129181,7.3647810558087885,6.511528238439882,8.627861844049196,6.337191807101944,5.3814496188294845,5.075431016179809,3.5777087639996634,6.575712889109438,8.138795979750322



