Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598042296.696237,1598043664.986909,1598045033.936411,1598046418.5223548,1598047791.275282,1598049160.7012029,1598050553.494433,1598051934.5109901,1598053307.985292,1598054688.093656


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,8.0,20.0,10.0,24.0,10.0,22.0,34.0,30.0,32.0,32.0,36.0,44.0,26.0,36.0,44.0,36.0,26.0,32.0,32.0
6.0,14.0,20.0,28.0,20.0,26.0,20.0,44.0,24.0,24.0,32.0,34.0,22.0,46.0,40.0,20.0,30.0,38.0,36.0,30.0
12.0,8.0,18.0,16.0,18.0,30.0,26.0,28.0,28.0,12.0,20.0,38.0,30.0,28.0,36.0,30.0,26.0,30.0,18.0,30.0
6.0,22.0,22.0,14.0,10.0,14.0,26.0,12.0,30.0,32.0,22.0,22.0,24.0,22.0,34.0,40.0,30.0,22.0,42.0,18.0
6.0,8.0,10.0,12.0,16.0,14.0,10.0,18.0,16.0,22.0,14.0,24.0,28.0,34.0,28.0,22.0,28.0,34.0,38.0,32.0
10.0,10.0,22.0,20.0,16.0,14.0,18.0,26.0,32.0,14.0,28.0,24.0,24.0,36.0,26.0,26.0,14.0,38.0,42.0,30.0
4.0,8.0,14.0,20.0,24.0,16.0,16.0,32.0,22.0,20.0,32.0,38.0,26.0,34.0,44.0,44.0,28.0,38.0,32.0,26.0
4.0,8.0,20.0,16.0,14.0,22.0,22.0,34.0,22.0,20.0,32.0,36.0,26.0,24.0,34.0,18.0,22.0,28.0,20.0,18.0
10.0,14.0,12.0,12.0,16.0,22.0,26.0,16.0,32.0,30.0,34.0,40.0,30.0,40.0,32.0,28.0,32.0,28.0,26.0,38.0
12.0,12.0,4.0,10.0,30.0,24.0,26.0,6.0,18.0,26.0,14.0,20.0,20.0,26.0,22.0,32.0,32.0,18.0,26.0,32.0

Averages:
7.6,11.2,16.2,15.8,18.8,19.2,21.2,25.0,25.4,23.2,26.0,31.2,27.4,31.6,33.2,30.4,27.8,30.0,31.2,28.6
Standard deviations:
2.9393876913398134,4.308131845707604,5.688585061331157,5.325410782277738,5.528109984434101,6.144916598294887,5.075431016179809,11.144505372604026,5.517245689653489,6.64529909033446,7.429670248402684,7.332121111929343,6.32771680782255,7.310266752998826,6.209669878504009,9.068627239003707,5.8275209137333865,6.6332495807108,8.109253973085316,6.003332407921454



