Accuracies BindsNET_bad_zero all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598042296.696237,1598043664.986909,1598045033.936411,1598046418.5223548,1598047791.275282,1598049160.7012029,1598050553.494433,1598051934.5109901,1598053307.985292,1598054688.093656


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,8.0,12.0,4.0,12.0,8.0,4.0,12.0,12.0,14.0,12.0,10.0,10.0,8.0,10.0,10.0,6.0,8.0,6.0,14.0
6.0,18.0,10.0,10.0,8.0,2.0,14.0,8.0,14.0,18.0,10.0,8.0,6.0,20.0,20.0,4.0,2.0,6.0,20.0,12.0
12.0,12.0,8.0,12.0,8.0,8.0,6.0,6.0,0.0,8.0,14.0,14.0,10.0,6.0,12.0,12.0,8.0,8.0,6.0,14.0
6.0,8.0,6.0,2.0,4.0,14.0,6.0,14.0,10.0,14.0,6.0,10.0,6.0,10.0,8.0,12.0,12.0,14.0,10.0,10.0
6.0,4.0,6.0,8.0,10.0,8.0,10.0,8.0,10.0,12.0,4.0,8.0,6.0,14.0,8.0,10.0,4.0,8.0,12.0,12.0
10.0,6.0,8.0,10.0,10.0,6.0,10.0,12.0,8.0,6.0,24.0,16.0,6.0,14.0,6.0,10.0,8.0,8.0,8.0,16.0
4.0,8.0,16.0,12.0,16.0,10.0,10.0,6.0,8.0,8.0,16.0,16.0,8.0,12.0,6.0,12.0,8.0,20.0,4.0,6.0
4.0,6.0,6.0,12.0,14.0,4.0,8.0,10.0,6.0,22.0,14.0,2.0,14.0,12.0,6.0,8.0,14.0,10.0,10.0,10.0
10.0,16.0,10.0,8.0,8.0,10.0,10.0,10.0,12.0,18.0,12.0,10.0,18.0,14.0,4.0,6.0,16.0,10.0,10.0,10.0
12.0,14.0,16.0,8.0,14.0,10.0,6.0,12.0,10.0,8.0,6.0,18.0,14.0,4.0,10.0,12.0,16.0,10.0,6.0,12.0

Averages:
7.6,10.0,9.8,8.6,10.4,8.0,8.4,9.8,9.0,12.8,11.8,11.2,9.8,11.4,9.0,9.6,9.4,10.2,9.2,11.6
Standard deviations:
2.9393876913398134,4.47213595499958,3.627671429443411,3.2310988842807027,3.4409301068170506,3.22490309931942,2.8000000000000003,2.6,3.714835124201342,5.075431016179808,5.546169849544818,4.578209256903839,4.044749683231337,4.386342439892262,4.312771730569565,2.65329983228432,4.651881339845203,3.8418745424597094,4.308131845707604,2.65329983228432



