Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598056078.580425,1598057443.987913,1598058810.260129,1598060198.960937,1598061577.2636611,1598062965.9798899,1598064351.448129,1598065741.880252,1598067132.4809039,1598068533.2173061


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,12.0,10.0,12.0,22.0,18.0,24.0,18.0,16.0,20.0,28.0,24.0,16.0,22.0,20.0,30.0,14.0,18.0,30.0,40.0
20.0,10.0,4.0,14.0,16.0,28.0,28.0,34.0,28.0,20.0,24.0,22.0,36.0,30.0,18.0,24.0,26.0,28.0,18.0,30.0
8.0,20.0,12.0,22.0,24.0,26.0,24.0,24.0,24.0,34.0,36.0,24.0,22.0,28.0,28.0,26.0,18.0,22.0,28.0,22.0
16.0,8.0,16.0,26.0,26.0,32.0,22.0,20.0,30.0,22.0,16.0,18.0,16.0,22.0,24.0,20.0,30.0,24.0,36.0,26.0
12.0,12.0,14.0,12.0,16.0,20.0,20.0,20.0,20.0,28.0,46.0,24.0,22.0,28.0,36.0,28.0,28.0,24.0,26.0,28.0
8.0,16.0,6.0,8.0,22.0,8.0,14.0,20.0,18.0,18.0,22.0,24.0,22.0,30.0,36.0,30.0,16.0,24.0,22.0,24.0
6.0,12.0,10.0,6.0,20.0,14.0,12.0,14.0,16.0,12.0,28.0,16.0,22.0,20.0,24.0,14.0,22.0,22.0,24.0,20.0
12.0,10.0,24.0,12.0,22.0,24.0,12.0,20.0,26.0,22.0,22.0,34.0,24.0,38.0,30.0,22.0,28.0,24.0,14.0,24.0
10.0,12.0,8.0,8.0,10.0,12.0,14.0,16.0,28.0,16.0,14.0,26.0,20.0,18.0,20.0,30.0,28.0,34.0,26.0,30.0
12.0,12.0,14.0,20.0,20.0,20.0,28.0,28.0,32.0,22.0,20.0,22.0,30.0,32.0,28.0,24.0,26.0,28.0,40.0,22.0

Averages:
11.0,12.4,11.8,14.0,19.8,20.2,19.8,21.4,23.8,21.4,25.6,23.4,23.0,26.8,26.4,24.8,23.6,24.8,26.4,26.6
Standard deviations:
4.219004621945797,3.1999999999999997,5.4,6.260990336999411,4.422668877499196,7.124605252222751,6.029925372672534,5.589275444992849,5.617828762075256,5.8,9.068627239003707,4.565084884205332,5.744562646538029,5.878775382679628,6.053098380168622,4.915282290977803,5.425863986500215,4.1182520563948,7.3647810558087885,5.51724568965349



