Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598131491.870452,1598132900.614965,1598134278.1695309,1598135656.454862,1598137031.809145,1598138421.207353,1598139812.5882418,1598141215.805611,1598142600.197866,1598143993.95605


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

14.0,10.0,14.0,10.0,8.0,6.0,14.0,14.0,10.0,12.0,12.0,10.0,8.0,10.0,8.0,18.0,16.0,10.0,14.0,8.0
6.0,20.0,12.0,8.0,8.0,12.0,6.0,10.0,6.0,12.0,10.0,12.0,16.0,14.0,14.0,14.0,8.0,8.0,8.0,14.0
14.0,12.0,8.0,12.0,22.0,14.0,16.0,8.0,12.0,8.0,16.0,8.0,4.0,14.0,10.0,12.0,18.0,6.0,8.0,10.0
18.0,10.0,10.0,14.0,10.0,4.0,10.0,16.0,10.0,8.0,12.0,6.0,10.0,12.0,14.0,4.0,8.0,8.0,8.0,6.0
10.0,6.0,16.0,8.0,4.0,6.0,22.0,8.0,6.0,6.0,14.0,8.0,10.0,10.0,6.0,8.0,10.0,16.0,16.0,8.0
4.0,6.0,6.0,18.0,18.0,6.0,12.0,4.0,10.0,12.0,2.0,14.0,8.0,6.0,12.0,12.0,6.0,10.0,12.0,20.0
8.0,6.0,12.0,6.0,16.0,6.0,14.0,6.0,6.0,8.0,12.0,10.0,8.0,10.0,10.0,10.0,12.0,24.0,10.0,0.0
14.0,4.0,10.0,6.0,4.0,8.0,8.0,6.0,8.0,22.0,10.0,12.0,22.0,4.0,4.0,12.0,18.0,14.0,8.0,10.0
4.0,12.0,6.0,10.0,6.0,10.0,10.0,12.0,16.0,12.0,10.0,12.0,10.0,8.0,10.0,2.0,20.0,8.0,16.0,4.0
6.0,16.0,6.0,12.0,12.0,10.0,8.0,20.0,6.0,8.0,12.0,6.0,10.0,8.0,4.0,6.0,8.0,4.0,14.0,10.0

Averages:
9.8,10.2,10.0,10.4,10.8,8.2,12.0,10.4,9.0,10.8,11.0,9.8,10.6,9.6,9.2,9.8,12.4,10.8,11.4,9.0
Standard deviations:
4.686149805543993,4.770744176750625,3.3466401061363023,3.555277766926235,5.81033561853358,3.026549190084312,4.47213595499958,4.8,3.1304951684997055,4.308131845707603,3.492849839314596,2.6,4.737087712930805,3.0724582991474434,3.4871191548325386,4.6000000000000005,4.882622246293481,5.528109984434102,3.2310988842807027,5.157518783291051



