Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598131491.870452,1598132900.614965,1598134278.1695309,1598135656.454862,1598137031.809145,1598138421.207353,1598139812.5882418,1598141215.805611,1598142600.197866,1598143993.95605


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

14.0,8.0,14.0,10.0,12.0,8.0,14.0,12.0,10.0,10.0,14.0,8.0,8.0,6.0,4.0,18.0,16.0,10.0,12.0,6.0
6.0,16.0,12.0,6.0,12.0,12.0,8.0,10.0,10.0,12.0,10.0,12.0,20.0,12.0,14.0,14.0,8.0,10.0,8.0,14.0
14.0,8.0,12.0,12.0,16.0,14.0,14.0,12.0,12.0,10.0,14.0,6.0,6.0,12.0,12.0,14.0,16.0,6.0,8.0,12.0
18.0,10.0,12.0,10.0,10.0,4.0,10.0,20.0,10.0,8.0,12.0,6.0,10.0,10.0,10.0,4.0,8.0,8.0,8.0,10.0
10.0,6.0,14.0,8.0,0.0,6.0,16.0,6.0,12.0,4.0,14.0,8.0,14.0,10.0,6.0,8.0,10.0,16.0,16.0,8.0
4.0,10.0,8.0,14.0,16.0,6.0,16.0,2.0,10.0,16.0,4.0,14.0,10.0,8.0,10.0,14.0,6.0,8.0,12.0,20.0
8.0,4.0,12.0,8.0,16.0,6.0,16.0,8.0,8.0,8.0,14.0,10.0,8.0,6.0,6.0,10.0,12.0,22.0,12.0,2.0
14.0,6.0,10.0,4.0,4.0,10.0,8.0,12.0,8.0,24.0,6.0,10.0,22.0,8.0,6.0,14.0,16.0,14.0,6.0,10.0
4.0,18.0,6.0,8.0,6.0,10.0,12.0,12.0,14.0,12.0,10.0,10.0,10.0,12.0,10.0,2.0,20.0,8.0,16.0,4.0
6.0,18.0,8.0,10.0,12.0,10.0,10.0,20.0,8.0,8.0,12.0,4.0,10.0,10.0,2.0,8.0,8.0,6.0,12.0,12.0

Averages:
9.8,10.4,10.8,9.0,10.4,8.6,12.4,11.4,10.2,11.2,11.0,8.8,11.8,9.4,8.0,10.6,12.0,10.8,11.0,9.8
Standard deviations:
4.686149805543993,4.882622246293481,2.5612496949731396,2.7202941017470885,5.2,2.973213749463701,3.0724582991474434,5.295280917949491,1.8867962264113207,5.230678732248808,3.3763886032268267,2.85657137141714,5.015974481593782,2.2,3.5777087639996634,4.82078831727758,4.47213595499958,4.833218389437828,3.255764119219941,4.935585071701226



