Accuracies BindsNET_bad_zero proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598131491.870452,1598132900.614965,1598134278.1695309,1598135656.454862,1598137031.809145,1598138421.207353,1598139812.5882418,1598141215.805611,1598142600.197866,1598143993.95605


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

14.0,2.0,10.0,6.0,8.0,12.0,8.0,12.0,10.0,8.0,14.0,18.0,10.0,6.0,16.0,4.0,6.0,4.0,8.0,10.0
6.0,4.0,12.0,10.0,4.0,4.0,10.0,10.0,6.0,6.0,12.0,12.0,4.0,12.0,6.0,8.0,14.0,6.0,4.0,14.0
14.0,14.0,16.0,6.0,6.0,14.0,16.0,12.0,16.0,10.0,6.0,10.0,4.0,14.0,18.0,12.0,12.0,6.0,2.0,18.0
18.0,10.0,6.0,12.0,2.0,14.0,18.0,2.0,10.0,16.0,10.0,6.0,16.0,12.0,4.0,12.0,14.0,12.0,14.0,4.0
10.0,14.0,6.0,14.0,6.0,12.0,14.0,8.0,10.0,6.0,8.0,8.0,14.0,16.0,10.0,14.0,16.0,8.0,12.0,10.0
4.0,12.0,10.0,10.0,6.0,12.0,10.0,12.0,6.0,12.0,12.0,6.0,12.0,10.0,8.0,14.0,8.0,8.0,10.0,10.0
8.0,10.0,18.0,6.0,10.0,20.0,8.0,2.0,2.0,6.0,8.0,12.0,10.0,8.0,12.0,10.0,14.0,10.0,14.0,14.0
14.0,10.0,14.0,10.0,10.0,6.0,6.0,12.0,10.0,8.0,12.0,8.0,16.0,8.0,6.0,10.0,8.0,4.0,12.0,14.0
4.0,6.0,8.0,8.0,8.0,0.0,6.0,10.0,10.0,12.0,6.0,12.0,10.0,22.0,6.0,4.0,8.0,12.0,6.0,10.0
6.0,12.0,12.0,14.0,8.0,6.0,6.0,8.0,8.0,8.0,16.0,10.0,4.0,4.0,12.0,10.0,14.0,6.0,24.0,8.0

Averages:
9.8,9.4,11.2,9.6,6.8,10.0,10.2,8.8,8.8,9.2,10.4,10.2,10.0,11.2,9.8,9.8,11.4,7.6,10.6,11.2
Standard deviations:
4.686149805543993,3.9038442591886273,3.8157568056677826,2.939387691339814,2.4,5.585696017507576,4.142463035441596,3.7094473981982814,3.4871191548325386,3.1240998703626617,3.2,3.400000000000001,4.47213595499958,4.995998398718719,4.422668877499196,3.4,3.352610922848042,2.8000000000000003,5.9363288318623315,3.7094473981982814



