Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598169174.678686,1598170535.836546,1598171894.008106,1598173268.362989,1598174653.0374641,1598176041.662199,1598177440.903667,1598178866.417208,1598180443.901997,1598181947.365677


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,10.0,26.0,18.0,32.0,18.0,24.0,28.0,26.0,28.0,30.0,22.0,32.0,28.0,32.0,38.0,24.0,34.0,38.0,22.0
8.0,18.0,34.0,24.0,24.0,20.0,14.0,20.0,28.0,34.0,18.0,18.0,18.0,28.0,32.0,30.0,26.0,22.0,38.0,34.0
10.0,16.0,8.0,10.0,16.0,16.0,26.0,10.0,28.0,24.0,22.0,18.0,24.0,34.0,42.0,46.0,42.0,36.0,38.0,36.0
8.0,20.0,26.0,22.0,28.0,28.0,26.0,28.0,26.0,26.0,40.0,28.0,34.0,40.0,40.0,34.0,34.0,38.0,40.0,32.0
8.0,16.0,12.0,16.0,16.0,24.0,28.0,24.0,36.0,20.0,20.0,28.0,24.0,38.0,40.0,32.0,34.0,42.0,42.0,36.0
8.0,24.0,18.0,8.0,28.0,18.0,20.0,14.0,24.0,20.0,16.0,26.0,22.0,22.0,24.0,22.0,24.0,28.0,40.0,16.0
10.0,20.0,12.0,36.0,24.0,38.0,28.0,30.0,34.0,20.0,28.0,36.0,32.0,38.0,32.0,34.0,32.0,24.0,34.0,30.0
12.0,10.0,8.0,16.0,14.0,24.0,18.0,22.0,14.0,20.0,24.0,14.0,24.0,34.0,24.0,36.0,30.0,40.0,30.0,24.0
10.0,8.0,26.0,20.0,36.0,24.0,34.0,30.0,38.0,34.0,26.0,52.0,32.0,32.0,30.0,42.0,48.0,34.0,36.0,38.0
22.0,12.0,22.0,18.0,18.0,26.0,30.0,24.0,34.0,30.0,36.0,24.0,30.0,26.0,36.0,38.0,28.0,34.0,26.0,34.0

Averages:
10.6,15.4,19.2,18.8,23.6,23.6,24.8,23.0,28.8,25.6,26.0,26.6,27.2,32.0,33.2,35.2,32.2,33.2,36.2,30.2
Standard deviations:
4.004996878900157,4.983974317750844,8.49470423263812,7.386474125047756,7.08801805866774,6.053098380168622,5.670978751503131,6.4031242374328485,6.705221845696084,5.4258639865002145,7.321202087089251,10.355674772799695,5.1536394906900505,5.585696017507576,6.013318551349163,6.273754856543249,7.4,6.273754856543249,4.686149805543993,6.838128398911504



