Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,1,False

Seeds:,1600211608.2521238,1600212702.936675,1600213797.147752,1600214902.6830459,1600216009.267617,1600217113.829966,1600218222.337764,1600219336.25558,1600220453.0699189,1600221564.944457


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,10.0,8.0,8.0,6.0,12.0,10.0,16.0,10.0,18.0,12.0,6.0,4.0,12.0,10.0,6.0,18.0,12.0,6.0,14.0
10.0,4.0,10.0,10.0,16.0,14.0,12.0,8.0,8.0,6.0,8.0,8.0,8.0,10.0,12.0,10.0,12.0,4.0,8.0,6.0
16.0,20.0,12.0,6.0,4.0,10.0,12.0,10.0,12.0,12.0,6.0,8.0,4.0,12.0,14.0,6.0,12.0,10.0,6.0,14.0
6.0,22.0,0.0,6.0,10.0,6.0,2.0,10.0,10.0,6.0,14.0,0.0,14.0,12.0,10.0,8.0,16.0,10.0,14.0,12.0
6.0,12.0,8.0,10.0,10.0,10.0,8.0,2.0,10.0,8.0,4.0,2.0,10.0,8.0,16.0,4.0,10.0,28.0,8.0,4.0
18.0,14.0,10.0,8.0,18.0,6.0,14.0,16.0,10.0,8.0,18.0,8.0,10.0,14.0,6.0,4.0,14.0,12.0,6.0,14.0
14.0,12.0,6.0,14.0,8.0,10.0,16.0,8.0,8.0,14.0,12.0,12.0,12.0,10.0,10.0,10.0,4.0,8.0,4.0,6.0
12.0,2.0,8.0,14.0,12.0,8.0,12.0,10.0,10.0,16.0,6.0,12.0,6.0,4.0,10.0,6.0,6.0,8.0,4.0,8.0
12.0,12.0,14.0,4.0,12.0,18.0,18.0,16.0,6.0,14.0,10.0,10.0,8.0,14.0,8.0,8.0,10.0,4.0,6.0,4.0
8.0,10.0,2.0,8.0,6.0,10.0,10.0,6.0,4.0,12.0,6.0,8.0,8.0,10.0,6.0,12.0,14.0,4.0,6.0,12.0

Averages:
10.8,11.8,7.8,8.8,10.2,10.4,11.4,10.2,8.8,11.4,9.6,7.4,8.4,10.6,10.2,7.4,11.6,10.0,6.8,9.4
Standard deviations:
4.1182520563948,5.8275209137333865,4.044749683231338,3.1240998703626617,4.237924020083418,3.4409301068170506,4.2,4.422668877499196,2.2271057451320084,4.004996878900157,4.17612260356422,3.6932370625238775,3.0724582991474434,2.835489375751565,3.0265491900843116,2.5377155080899043,4.079215610874228,6.6932802122726045,2.7129319932501077,4.004996878900157



