Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599125533.427742,1599127761.224493,1599129915.720041,1599132071.7531798,1599134168.901333,1599136257.4555452,1599138375.682744,1599140568.474838,1599142726.161002,1599144886.906262


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,8.0,16.0,14.0,12.0,14.0,24.0,20.0,20.0,46.0,20.0,38.0,22.0,36.0,32.0,22.0,46.0,32.0,34.0,34.0
6.0,14.0,12.0,14.0,12.0,12.0,16.0,24.0,24.0,34.0,24.0,30.0,26.0,16.0,20.0,22.0,30.0,40.0,36.0,20.0
10.0,14.0,14.0,8.0,18.0,16.0,16.0,14.0,14.0,24.0,10.0,22.0,26.0,20.0,32.0,36.0,36.0,46.0,32.0,42.0
22.0,10.0,16.0,22.0,8.0,12.0,14.0,4.0,18.0,10.0,16.0,28.0,36.0,42.0,34.0,32.0,34.0,46.0,34.0,28.0
10.0,10.0,16.0,6.0,16.0,34.0,22.0,42.0,24.0,26.0,16.0,34.0,42.0,36.0,30.0,26.0,34.0,32.0,42.0,44.0
12.0,10.0,26.0,22.0,20.0,18.0,24.0,14.0,30.0,26.0,28.0,16.0,28.0,34.0,44.0,24.0,34.0,40.0,36.0,24.0
6.0,8.0,16.0,18.0,24.0,32.0,22.0,36.0,46.0,32.0,40.0,32.0,26.0,30.0,48.0,46.0,60.0,42.0,42.0,36.0
6.0,8.0,22.0,22.0,18.0,20.0,26.0,20.0,30.0,28.0,24.0,36.0,22.0,32.0,34.0,18.0,20.0,14.0,18.0,28.0
8.0,14.0,18.0,24.0,14.0,20.0,22.0,20.0,30.0,26.0,34.0,52.0,40.0,22.0,34.0,42.0,46.0,48.0,44.0,32.0
8.0,12.0,12.0,12.0,24.0,14.0,18.0,24.0,14.0,28.0,28.0,42.0,26.0,28.0,26.0,42.0,28.0,22.0,30.0,34.0

Averages:
9.2,10.8,16.8,16.2,16.6,19.2,20.4,21.8,25.0,28.0,24.0,33.0,29.4,29.6,33.4,31.0,36.8,36.2,34.8,32.2
Standard deviations:
4.833218389437829,2.4,4.1182520563948,6.029925372672534,4.983974317750845,7.4404300950953095,3.8781438859330635,10.33247308247159,9.132360045464699,8.532291603080617,8.532291603080617,9.602083107326242,6.8731361109758335,7.735631842325486,7.592101158440923,9.476286192385707,10.665833300778708,10.6,7.11055553385247,7.124605252222751



