Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599170706.1391108,1599172740.983608,1599174738.2925792,1599176735.177,1599178734.6682692,1599180734.565988,1599182732.2416608,1599184743.4421902,1599186748.933121,1599188752.0573618


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,6.0,10.0,22.0,22.0,18.0,12.0,14.0,18.0,24.0,24.0,18.0,20.0,28.0,34.0,24.0,34.0,42.0,30.0,48.0
14.0,4.0,6.0,10.0,8.0,24.0,26.0,16.0,20.0,18.0,26.0,30.0,28.0,46.0,30.0,20.0,50.0,54.0,46.0,52.0
8.0,12.0,8.0,18.0,22.0,28.0,18.0,28.0,22.0,26.0,32.0,42.0,20.0,38.0,30.0,42.0,34.0,44.0,40.0,36.0
4.0,10.0,4.0,12.0,28.0,32.0,12.0,16.0,26.0,30.0,28.0,46.0,28.0,26.0,22.0,30.0,30.0,26.0,22.0,40.0
6.0,14.0,16.0,18.0,20.0,20.0,16.0,20.0,24.0,38.0,26.0,26.0,24.0,30.0,32.0,30.0,40.0,36.0,26.0,34.0
8.0,6.0,8.0,6.0,18.0,12.0,18.0,14.0,12.0,16.0,14.0,20.0,16.0,26.0,36.0,22.0,20.0,38.0,24.0,42.0
12.0,10.0,14.0,16.0,10.0,14.0,26.0,26.0,30.0,14.0,26.0,18.0,38.0,22.0,20.0,28.0,22.0,26.0,32.0,32.0
12.0,6.0,16.0,14.0,18.0,20.0,30.0,26.0,32.0,30.0,26.0,14.0,32.0,18.0,36.0,28.0,34.0,46.0,32.0,32.0
18.0,10.0,14.0,14.0,10.0,10.0,20.0,28.0,12.0,4.0,18.0,18.0,28.0,36.0,46.0,26.0,36.0,32.0,36.0,46.0
4.0,12.0,6.0,8.0,12.0,20.0,30.0,16.0,22.0,16.0,16.0,22.0,26.0,36.0,26.0,42.0,54.0,40.0,32.0,32.0

Averages:
9.6,9.0,10.2,13.8,16.8,19.8,20.8,20.4,21.8,21.6,23.6,25.4,26.0,30.6,31.2,29.2,35.4,38.4,32.0,39.4
Standard deviations:
4.2708313008125245,3.1304951684997055,4.237924020083418,4.686149805543993,6.20966987850401,6.539113089708726,6.4621977685614045,5.642694391866353,6.352952069707436,9.372299611087985,5.4258639865002145,10.278132126023678,6.06630035524124,7.952358140828418,7.166589146867567,7.11055553385247,10.160708636704431,8.380930735902785,6.928203230275509,6.988562083862459



