Accuracies BindsNET_bad_zero proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599251959.752936,1599253971.142197,1599255976.601225,1599257978.731039,1599259978.58759,1599261977.998136,1599263992.815735,1599266012.624615,1599268027.267453,1599270035.488887


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,8.0,4.0,12.0,6.0,14.0,10.0,16.0,14.0,4.0,10.0,10.0,4.0,18.0,6.0,10.0,10.0,6.0,10.0,8.0
8.0,10.0,2.0,16.0,6.0,4.0,2.0,8.0,16.0,6.0,16.0,4.0,8.0,20.0,12.0,10.0,10.0,10.0,10.0,12.0
14.0,10.0,6.0,12.0,6.0,12.0,2.0,16.0,8.0,6.0,12.0,10.0,18.0,8.0,10.0,14.0,6.0,16.0,6.0,8.0
14.0,8.0,4.0,8.0,10.0,10.0,6.0,6.0,6.0,4.0,12.0,14.0,8.0,4.0,8.0,4.0,2.0,12.0,12.0,14.0
6.0,2.0,8.0,4.0,10.0,18.0,10.0,8.0,12.0,16.0,14.0,12.0,10.0,20.0,12.0,12.0,12.0,8.0,10.0,12.0
6.0,16.0,6.0,8.0,8.0,16.0,10.0,8.0,12.0,12.0,10.0,8.0,12.0,10.0,14.0,12.0,12.0,12.0,4.0,12.0
12.0,8.0,8.0,8.0,8.0,6.0,8.0,12.0,12.0,8.0,0.0,10.0,0.0,12.0,12.0,4.0,16.0,10.0,16.0,14.0
8.0,12.0,0.0,10.0,10.0,12.0,6.0,16.0,10.0,6.0,10.0,14.0,6.0,12.0,10.0,4.0,8.0,10.0,12.0,4.0
8.0,14.0,8.0,6.0,10.0,12.0,12.0,12.0,14.0,14.0,4.0,12.0,6.0,10.0,12.0,4.0,8.0,16.0,4.0,8.0
12.0,12.0,8.0,8.0,10.0,10.0,6.0,6.0,8.0,12.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0

Averages:
9.2,10.0,5.4,9.2,8.4,11.4,7.2,10.8,11.2,8.8,9.6,10.2,8.0,12.0,10.4,8.2,9.2,10.8,9.0,10.0
Standard deviations:
3.370459909270543,3.687817782917155,2.6907248094147422,3.249615361854384,1.7435595774162693,4.004996878900157,3.249615361854384,3.9191835884530852,2.993325909419153,4.1182520563948,4.454211490264017,2.891366458960192,4.560701700396552,5.366563145999495,2.3323807579381204,3.7363083384538807,3.6,3.1240998703626617,3.714835124201342,3.0983866769659336



