Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599272038.521406,1599274042.9903848,1599276058.631976,1599278068.7083561,1599280080.207703,1599282083.167899,1599284085.1632462,1599286096.499784,1599288123.668582,1599290142.332808


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,14.0,16.0,36.0,24.0,14.0,20.0,14.0,18.0,20.0,30.0,32.0,32.0,38.0,36.0,44.0,34.0,50.0,30.0,42.0
8.0,12.0,8.0,18.0,10.0,22.0,26.0,24.0,10.0,20.0,16.0,24.0,22.0,18.0,34.0,30.0,24.0,28.0,42.0,54.0
8.0,18.0,6.0,30.0,28.0,14.0,20.0,16.0,32.0,42.0,32.0,22.0,30.0,28.0,32.0,32.0,22.0,38.0,34.0,22.0
12.0,8.0,10.0,8.0,8.0,14.0,18.0,8.0,20.0,32.0,22.0,22.0,20.0,34.0,44.0,40.0,32.0,28.0,36.0,44.0
10.0,22.0,12.0,22.0,26.0,26.0,22.0,40.0,26.0,24.0,24.0,32.0,20.0,30.0,34.0,34.0,34.0,36.0,54.0,24.0
12.0,10.0,16.0,16.0,14.0,10.0,14.0,14.0,20.0,14.0,14.0,16.0,20.0,16.0,22.0,32.0,20.0,28.0,34.0,20.0
14.0,14.0,10.0,16.0,12.0,26.0,12.0,12.0,12.0,16.0,30.0,24.0,46.0,38.0,46.0,36.0,34.0,34.0,40.0,30.0
12.0,12.0,14.0,20.0,12.0,20.0,14.0,16.0,12.0,10.0,18.0,22.0,30.0,22.0,20.0,28.0,30.0,32.0,38.0,32.0
10.0,12.0,12.0,24.0,22.0,16.0,24.0,18.0,16.0,16.0,10.0,26.0,10.0,16.0,24.0,30.0,28.0,24.0,16.0,22.0
10.0,8.0,8.0,12.0,10.0,18.0,18.0,26.0,20.0,34.0,22.0,30.0,38.0,44.0,42.0,40.0,36.0,44.0,24.0,36.0

Averages:
10.6,13.0,11.2,20.2,16.6,18.0,18.8,18.8,18.6,22.8,21.8,25.0,26.8,28.4,33.4,34.6,29.4,34.2,34.8,32.6
Standard deviations:
1.8,4.123105625617661,3.249615361854384,7.871467461661771,7.158212067269312,5.138093031466052,4.308131845707604,8.681013765684282,6.390618123468182,9.641576634555161,7.011419257183242,4.8373546489791295,9.927738916792686,9.58331884056875,8.674099376880577,4.983974317750846,5.370288632839022,7.665507158694721,9.765244492586962,10.734989520255713



