Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599337541.926382,1599339555.6718779,1599341552.685809,1599343543.820796,1599345543.420504,1599347546.1987689,1599349545.912089,1599351544.189676,1599353556.072321,1599355562.684777


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

18.0,10.0,6.0,6.0,12.0,12.0,12.0,10.0,8.0,10.0,6.0,8.0,10.0,12.0,8.0,4.0,10.0,24.0,12.0,2.0
12.0,10.0,10.0,2.0,8.0,10.0,8.0,8.0,10.0,6.0,10.0,16.0,14.0,12.0,4.0,10.0,10.0,6.0,4.0,12.0
8.0,10.0,18.0,6.0,6.0,10.0,20.0,12.0,2.0,10.0,12.0,12.0,10.0,12.0,14.0,16.0,10.0,6.0,18.0,20.0
10.0,18.0,18.0,4.0,12.0,4.0,10.0,10.0,12.0,12.0,4.0,12.0,20.0,10.0,8.0,12.0,4.0,6.0,20.0,8.0
8.0,16.0,12.0,8.0,10.0,18.0,8.0,12.0,12.0,8.0,10.0,14.0,8.0,12.0,8.0,20.0,16.0,12.0,6.0,18.0
12.0,10.0,8.0,14.0,8.0,6.0,10.0,10.0,8.0,6.0,6.0,12.0,8.0,8.0,10.0,8.0,6.0,16.0,8.0,12.0
10.0,16.0,10.0,6.0,8.0,6.0,6.0,10.0,10.0,4.0,10.0,4.0,8.0,18.0,12.0,14.0,18.0,14.0,6.0,4.0
8.0,6.0,2.0,10.0,8.0,8.0,10.0,10.0,12.0,14.0,18.0,6.0,2.0,14.0,14.0,6.0,6.0,4.0,4.0,8.0
8.0,6.0,8.0,6.0,6.0,8.0,18.0,0.0,14.0,14.0,6.0,14.0,20.0,10.0,10.0,4.0,8.0,8.0,10.0,14.0
14.0,6.0,2.0,6.0,14.0,8.0,6.0,8.0,12.0,4.0,14.0,10.0,12.0,12.0,12.0,4.0,10.0,6.0,14.0,4.0

Averages:
10.8,10.8,9.4,6.8,9.2,9.0,10.8,9.0,10.0,8.8,9.6,10.8,11.2,12.0,10.0,9.8,9.8,10.2,10.2,10.2
Standard deviations:
3.1240998703626617,4.214261501141095,5.295280917949491,3.1240998703626617,2.5612496949731396,3.714835124201342,4.48998886412873,3.255764119219941,3.22490309931942,3.6,4.079215610874228,3.6,5.3065996645686395,2.5298221281347035,2.9664793948382653,5.325410782277739,4.142463035441596,5.963220606350229,5.4,5.758472019555188



