Accuracies BindsNET_bad_zero all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599427008.880705,1599429022.53724,1599431032.7350242,1599433052.841654,1599435061.020651,1599437064.017441,1599439076.553845,1599441083.0311759,1599443094.452119,1599445118.4677608


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,12.0,10.0,16.0,8.0,20.0,14.0,16.0,14.0,8.0,8.0,8.0,18.0,14.0,12.0,4.0,10.0,6.0,12.0,4.0
10.0,16.0,4.0,10.0,12.0,16.0,6.0,10.0,10.0,6.0,12.0,12.0,6.0,8.0,12.0,10.0,16.0,6.0,6.0,6.0
12.0,6.0,12.0,14.0,14.0,6.0,12.0,6.0,6.0,16.0,16.0,8.0,6.0,12.0,12.0,6.0,8.0,10.0,18.0,8.0
6.0,2.0,8.0,4.0,12.0,10.0,12.0,20.0,6.0,8.0,16.0,12.0,12.0,10.0,8.0,16.0,14.0,10.0,4.0,14.0
4.0,4.0,12.0,8.0,10.0,10.0,20.0,12.0,12.0,8.0,18.0,4.0,14.0,18.0,4.0,12.0,10.0,8.0,6.0,14.0
10.0,8.0,14.0,10.0,12.0,6.0,10.0,6.0,6.0,10.0,6.0,10.0,4.0,4.0,10.0,16.0,8.0,2.0,16.0,10.0
2.0,14.0,6.0,16.0,14.0,10.0,12.0,4.0,12.0,6.0,8.0,8.0,6.0,12.0,10.0,18.0,8.0,14.0,8.0,10.0
6.0,8.0,12.0,14.0,10.0,10.0,14.0,12.0,14.0,16.0,8.0,8.0,18.0,8.0,10.0,8.0,8.0,10.0,16.0,4.0
8.0,18.0,10.0,12.0,18.0,24.0,12.0,4.0,16.0,12.0,8.0,6.0,16.0,8.0,10.0,8.0,4.0,8.0,12.0,10.0
10.0,4.0,10.0,16.0,12.0,10.0,10.0,8.0,14.0,6.0,10.0,8.0,8.0,20.0,12.0,10.0,12.0,6.0,16.0,6.0

Averages:
7.2,9.2,9.8,12.0,12.2,12.2,12.2,9.8,11.0,9.6,11.0,8.4,10.8,11.4,10.0,10.8,9.8,8.0,11.4,8.6
Standard deviations:
3.124099870362662,5.230678732248808,2.8913664589601926,3.794733192202055,2.6,5.617828762075256,3.4000000000000004,5.015974481593782,3.605551275463989,3.6660605559646724,4.024922359499621,2.3323807579381204,5.1536394906900505,4.651881339845202,2.3664319132398464,4.4,3.2802438933713454,3.0983866769659336,4.8207883172775805,3.4698703145794947



