Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599447149.026586,1599449149.6084979,1599451150.103177,1599453143.9840589,1599455140.071724,1599457143.822239,1599459154.546634,1599461151.996463,1599463158.418253,1599465555.8613608


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,10.0,12.0,12.0,14.0,28.0,28.0,28.0,22.0,24.0,36.0,30.0,16.0,24.0,26.0,28.0,30.0,20.0,32.0,54.0
12.0,8.0,14.0,20.0,16.0,14.0,20.0,26.0,16.0,18.0,32.0,22.0,20.0,26.0,18.0,34.0,26.0,34.0,36.0,34.0
10.0,8.0,22.0,20.0,16.0,22.0,16.0,26.0,28.0,38.0,22.0,30.0,16.0,36.0,36.0,34.0,42.0,42.0,34.0,24.0
14.0,14.0,4.0,14.0,16.0,22.0,22.0,20.0,36.0,18.0,16.0,20.0,24.0,26.0,28.0,30.0,26.0,30.0,24.0,14.0
22.0,6.0,20.0,18.0,14.0,30.0,30.0,22.0,36.0,24.0,30.0,32.0,36.0,42.0,36.0,26.0,30.0,32.0,36.0,44.0
8.0,18.0,10.0,16.0,10.0,20.0,18.0,18.0,22.0,28.0,24.0,32.0,32.0,34.0,30.0,24.0,28.0,40.0,44.0,32.0
10.0,6.0,8.0,30.0,14.0,18.0,14.0,22.0,28.0,28.0,32.0,32.0,26.0,34.0,24.0,32.0,38.0,38.0,26.0,30.0
14.0,18.0,12.0,20.0,16.0,16.0,24.0,16.0,28.0,26.0,38.0,54.0,44.0,38.0,40.0,44.0,40.0,42.0,46.0,36.0
8.0,6.0,16.0,22.0,16.0,18.0,18.0,32.0,18.0,30.0,22.0,20.0,28.0,34.0,26.0,36.0,20.0,32.0,46.0,40.0
10.0,8.0,22.0,18.0,22.0,24.0,24.0,20.0,32.0,38.0,24.0,34.0,40.0,32.0,18.0,32.0,34.0,40.0,26.0,22.0

Averages:
12.0,10.2,14.0,19.0,15.4,21.2,21.4,23.0,26.6,27.2,27.6,30.6,28.2,32.6,28.2,32.0,31.4,35.0,35.0,33.0
Standard deviations:
3.8987177379235853,4.512205669071391,5.727128425310541,4.669047011971501,2.8354893757515653,4.833218389437829,4.903060268852506,4.669047011971501,6.636264009214823,6.584831053261731,6.681317235396027,9.297311439335568,9.228217596047461,5.444263035526479,7.068238818828917,5.366563145999495,6.636264009214824,6.526867548832288,7.861297602813418,10.927030703718188



