Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599447149.026586,1599449149.6084979,1599451150.103177,1599453143.9840589,1599455140.071724,1599457143.822239,1599459154.546634,1599461151.996463,1599463158.418253,1599465555.8613608


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,4.0,12.0,10.0,10.0,16.0,14.0,6.0,12.0,12.0,12.0,18.0,10.0,10.0,14.0,4.0,6.0,6.0,14.0,2.0
12.0,6.0,16.0,14.0,18.0,2.0,14.0,12.0,18.0,12.0,12.0,8.0,12.0,0.0,10.0,4.0,14.0,4.0,8.0,12.0
10.0,10.0,12.0,12.0,10.0,4.0,16.0,14.0,16.0,16.0,12.0,4.0,18.0,4.0,10.0,6.0,4.0,6.0,14.0,12.0
14.0,8.0,6.0,6.0,16.0,6.0,12.0,8.0,10.0,12.0,14.0,10.0,8.0,4.0,8.0,18.0,8.0,6.0,12.0,10.0
22.0,16.0,14.0,10.0,10.0,8.0,12.0,12.0,12.0,10.0,8.0,26.0,12.0,8.0,12.0,10.0,6.0,10.0,8.0,12.0
8.0,10.0,4.0,6.0,8.0,16.0,6.0,16.0,10.0,8.0,8.0,6.0,4.0,16.0,8.0,6.0,14.0,16.0,12.0,16.0
10.0,18.0,8.0,4.0,8.0,6.0,6.0,8.0,8.0,12.0,6.0,8.0,22.0,12.0,10.0,12.0,4.0,14.0,6.0,8.0
14.0,12.0,6.0,6.0,14.0,16.0,10.0,8.0,4.0,18.0,10.0,12.0,8.0,6.0,2.0,12.0,6.0,8.0,8.0,12.0
8.0,6.0,12.0,12.0,12.0,6.0,12.0,10.0,8.0,8.0,14.0,6.0,4.0,8.0,8.0,8.0,10.0,6.0,4.0,14.0
10.0,6.0,8.0,14.0,4.0,8.0,8.0,12.0,2.0,4.0,12.0,18.0,6.0,12.0,8.0,14.0,6.0,10.0,2.0,16.0

Averages:
12.0,9.6,9.8,9.4,11.0,8.8,11.0,10.6,10.0,11.2,10.8,11.6,10.4,8.0,9.0,9.4,7.8,8.6,8.8,11.4
Standard deviations:
3.8987177379235853,4.363484845854286,3.736308338453881,3.4698703145794947,3.924283374069717,4.995998398718719,3.255764119219941,2.973213749463701,4.6475800154489,3.8157568056677826,2.5612496949731396,6.62117814289874,5.571355310873647,4.47213595499958,3.0,4.386342439892262,3.515679166249389,3.6932370625238775,3.919183588453085,3.903844259188627



