Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,20,False

Seeds:,1599067393.991065,1599070938.9777029,1599074558.110322,1599078103.512491,1599082266.5641952,1599086213.044126,1599090119.5699599,1599093846.979878,1599097571.880667,1599101298.415017


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,2.0,18.0,10.0,14.0,14.0,24.0,16.0,24.0,26.0,22.0,16.0,28.0,28.0,24.0,30.0,38.0,24.0,20.0,46.0
12.0,8.0,14.0,26.0,24.0,18.0,12.0,14.0,30.0,24.0,18.0,16.0,18.0,22.0,26.0,32.0,36.0,36.0,40.0,38.0
14.0,12.0,10.0,12.0,24.0,14.0,28.0,20.0,26.0,18.0,18.0,24.0,10.0,16.0,22.0,16.0,48.0,32.0,36.0,28.0
14.0,16.0,2.0,16.0,16.0,16.0,22.0,18.0,24.0,22.0,36.0,26.0,38.0,30.0,44.0,44.0,56.0,42.0,48.0,56.0
14.0,12.0,4.0,16.0,24.0,22.0,18.0,14.0,24.0,22.0,14.0,28.0,30.0,28.0,34.0,36.0,28.0,36.0,26.0,20.0
14.0,18.0,16.0,30.0,20.0,18.0,18.0,24.0,28.0,44.0,44.0,28.0,20.0,30.0,8.0,36.0,26.0,40.0,40.0,34.0
6.0,14.0,14.0,14.0,18.0,18.0,22.0,38.0,38.0,30.0,22.0,30.0,44.0,34.0,34.0,32.0,34.0,36.0,38.0,32.0
4.0,18.0,10.0,12.0,16.0,20.0,28.0,38.0,38.0,42.0,40.0,32.0,32.0,30.0,34.0,28.0,32.0,40.0,32.0,24.0
4.0,14.0,24.0,16.0,16.0,12.0,32.0,32.0,32.0,26.0,32.0,28.0,38.0,36.0,38.0,42.0,38.0,36.0,30.0,34.0
12.0,16.0,16.0,18.0,30.0,20.0,14.0,42.0,36.0,30.0,24.0,44.0,42.0,32.0,48.0,38.0,36.0,38.0,32.0,40.0

Averages:
10.4,13.0,12.8,17.0,20.2,17.2,21.8,25.6,30.0,28.4,27.0,27.2,30.0,28.6,31.2,33.4,37.2,36.0,34.2,35.2
Standard deviations:
3.97994974842648,4.669047011971501,6.20966987850401,6.016643582596529,4.853864439804639,2.993325909419153,6.095900261651268,10.34601372510205,5.440588203494177,8.089499366462674,9.767292357659825,7.6,10.583005244258363,5.51724568965349,11.034491379306978,7.539230729988305,8.49470423263812,4.8166378315169185,7.560423268574319,10.007996802557443



