Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,20,False

Seeds:,1599067393.991065,1599070938.9777029,1599074558.110322,1599078103.512491,1599082266.5641952,1599086213.044126,1599090119.5699599,1599093846.979878,1599097571.880667,1599101298.415017


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,4.0,22.0,22.0,12.0,16.0,18.0,18.0,26.0,24.0,14.0,22.0,28.0,32.0,34.0,36.0,42.0,32.0,34.0,32.0
12.0,18.0,14.0,30.0,30.0,14.0,26.0,22.0,24.0,30.0,40.0,46.0,30.0,38.0,30.0,28.0,44.0,24.0,34.0,34.0
14.0,8.0,6.0,16.0,32.0,20.0,16.0,20.0,26.0,24.0,24.0,34.0,24.0,22.0,28.0,10.0,26.0,22.0,32.0,10.0
14.0,10.0,6.0,12.0,6.0,22.0,16.0,12.0,20.0,20.0,30.0,38.0,24.0,22.0,32.0,20.0,46.0,26.0,36.0,30.0
14.0,14.0,10.0,18.0,22.0,16.0,16.0,28.0,28.0,28.0,26.0,32.0,20.0,30.0,28.0,38.0,42.0,32.0,34.0,22.0
14.0,14.0,14.0,18.0,14.0,16.0,12.0,20.0,18.0,26.0,44.0,22.0,30.0,32.0,40.0,28.0,34.0,26.0,28.0,20.0
6.0,14.0,14.0,20.0,16.0,24.0,12.0,38.0,36.0,22.0,40.0,44.0,40.0,36.0,38.0,36.0,52.0,38.0,50.0,48.0
4.0,14.0,8.0,14.0,4.0,20.0,26.0,26.0,26.0,16.0,46.0,32.0,28.0,30.0,34.0,32.0,22.0,22.0,36.0,40.0
4.0,10.0,24.0,18.0,16.0,20.0,20.0,12.0,28.0,22.0,24.0,16.0,22.0,20.0,24.0,16.0,18.0,32.0,28.0,30.0
12.0,16.0,14.0,32.0,34.0,26.0,24.0,44.0,46.0,42.0,38.0,54.0,34.0,38.0,32.0,36.0,44.0,38.0,44.0,44.0

Averages:
10.4,12.2,13.2,20.0,18.6,19.4,18.6,24.0,27.8,25.4,32.6,34.0,28.0,30.0,32.0,28.0,37.0,29.2,35.6,31.0
Standard deviations:
3.97994974842648,3.9446165846632044,5.81033561853358,6.131883886702357,10.041912168506554,3.693237062523877,4.983974317750845,9.879271228182775,7.6131465242697125,6.696267617113283,9.961927524329816,11.313708498984761,5.656854249492381,6.324555320336759,4.560701700396552,9.16515138991168,10.816653826391969,5.74108003776293,6.437390775772433,10.927030703718188



