Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,20,False

Seeds:,1599067393.991065,1599070938.9777029,1599074558.110322,1599078103.512491,1599082266.5641952,1599086213.044126,1599090119.5699599,1599093846.979878,1599097571.880667,1599101298.415017


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,6.0,10.0,12.0,16.0,6.0,8.0,6.0,8.0,18.0,4.0,14.0,10.0,18.0,10.0,12.0,6.0,18.0,20.0,10.0
12.0,12.0,12.0,8.0,18.0,6.0,6.0,0.0,16.0,2.0,12.0,0.0,12.0,18.0,10.0,10.0,12.0,10.0,10.0,6.0
14.0,4.0,12.0,10.0,10.0,10.0,14.0,12.0,16.0,12.0,6.0,10.0,10.0,12.0,14.0,16.0,12.0,20.0,10.0,6.0
14.0,4.0,8.0,10.0,10.0,8.0,6.0,10.0,14.0,14.0,8.0,6.0,8.0,2.0,20.0,12.0,4.0,18.0,8.0,6.0
14.0,10.0,14.0,12.0,6.0,12.0,12.0,16.0,4.0,4.0,12.0,18.0,18.0,10.0,8.0,4.0,4.0,14.0,6.0,8.0
14.0,8.0,12.0,14.0,10.0,10.0,18.0,12.0,10.0,10.0,8.0,6.0,12.0,12.0,14.0,6.0,10.0,6.0,6.0,4.0
6.0,14.0,10.0,22.0,14.0,10.0,10.0,10.0,8.0,10.0,14.0,6.0,14.0,6.0,10.0,6.0,8.0,8.0,12.0,16.0
4.0,4.0,12.0,4.0,8.0,14.0,8.0,10.0,12.0,6.0,4.0,14.0,22.0,4.0,8.0,6.0,10.0,12.0,18.0,16.0
4.0,12.0,2.0,20.0,8.0,8.0,22.0,12.0,2.0,6.0,4.0,4.0,14.0,12.0,8.0,8.0,16.0,16.0,8.0,2.0
12.0,8.0,16.0,12.0,14.0,6.0,12.0,18.0,8.0,10.0,12.0,6.0,12.0,4.0,10.0,6.0,10.0,8.0,8.0,12.0

Averages:
10.4,8.2,10.8,12.4,11.4,9.0,11.6,10.6,9.8,9.2,8.4,8.4,13.2,9.8,11.2,8.6,9.2,13.0,10.6,8.6
Standard deviations:
3.97994974842648,3.515679166249389,3.6,5.043808085167397,3.6932370625238775,2.569046515733026,4.963869458396343,4.737087712930805,4.512205669071391,4.57820925690384,3.6660605559646724,5.2,3.919183588453085,5.3999999999999995,3.6,3.583294573433783,3.6,4.669047011971501,4.565084884205331,4.565084884205331



