Accuracies BindsNET_bad_zero all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,20,False

Seeds:,1599067393.991065,1599070938.9777029,1599074558.110322,1599078103.512491,1599082266.5641952,1599086213.044126,1599090119.5699599,1599093846.979878,1599097571.880667,1599101298.415017


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,12.0,10.0,6.0,14.0,8.0,6.0,8.0,8.0,14.0,8.0,12.0,12.0,6.0,14.0,18.0,14.0,8.0,6.0,14.0
12.0,14.0,8.0,14.0,10.0,8.0,10.0,14.0,8.0,12.0,12.0,10.0,8.0,16.0,8.0,4.0,6.0,16.0,8.0,10.0
14.0,6.0,10.0,12.0,14.0,4.0,8.0,10.0,12.0,2.0,6.0,16.0,10.0,8.0,6.0,6.0,2.0,6.0,10.0,16.0
14.0,6.0,6.0,14.0,12.0,8.0,6.0,8.0,16.0,10.0,4.0,10.0,0.0,8.0,12.0,4.0,8.0,16.0,8.0,8.0
14.0,14.0,8.0,8.0,2.0,6.0,10.0,12.0,8.0,2.0,10.0,6.0,4.0,8.0,4.0,12.0,6.0,8.0,16.0,6.0
14.0,4.0,8.0,10.0,8.0,10.0,12.0,16.0,4.0,8.0,14.0,4.0,10.0,6.0,12.0,14.0,8.0,4.0,6.0,10.0
6.0,2.0,8.0,8.0,10.0,6.0,16.0,10.0,6.0,12.0,18.0,18.0,14.0,6.0,6.0,6.0,8.0,14.0,12.0,6.0
4.0,18.0,6.0,12.0,10.0,10.0,10.0,10.0,12.0,6.0,12.0,14.0,4.0,10.0,14.0,12.0,4.0,10.0,12.0,10.0
4.0,4.0,20.0,4.0,10.0,18.0,10.0,6.0,8.0,10.0,14.0,18.0,8.0,10.0,8.0,14.0,10.0,18.0,4.0,10.0
12.0,6.0,12.0,10.0,14.0,12.0,6.0,6.0,14.0,14.0,6.0,14.0,8.0,14.0,10.0,10.0,4.0,12.0,6.0,12.0

Averages:
10.4,8.6,9.6,9.8,10.4,9.0,9.4,10.0,9.6,9.0,10.4,12.2,7.8,9.2,9.4,10.0,7.0,11.2,8.8,10.2
Standard deviations:
3.97994974842648,5.141984052872976,3.878143885933063,3.1559467676119,3.4409301068170506,3.714835124201342,2.973213749463701,3.0983866769659336,3.5552777669262356,4.219004621945797,4.17612260356422,4.512205669071391,3.944616584663204,3.249615361854384,3.352610922848042,4.560701700396552,3.255764119219941,4.48998886412873,3.4871191548325386,3.0265491900843116



