Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,1,False

Seeds:,1596988062.7064419,1596988734.930274,1596989370.9747899,1596990044.504831,1596990723.907559,1596991392.333754,1596992061.942338,1596992714.650999,1596993390.556482,1596994054.059188


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,10.0,12.0,12.0,16.0,10.0,24.0,40.0,12.0,34.0,28.0,40.0,34.0,40.0,44.0,34.0,44.0,32.0,28.0,30.0
8.0,18.0,30.0,12.0,24.0,16.0,26.0,26.0,10.0,20.0,26.0,36.0,42.0,34.0,30.0,42.0,34.0,28.0,32.0,34.0
6.0,10.0,18.0,14.0,22.0,12.0,20.0,18.0,28.0,26.0,14.0,22.0,32.0,26.0,30.0,34.0,40.0,38.0,34.0,34.0
8.0,24.0,14.0,24.0,36.0,36.0,24.0,34.0,28.0,24.0,32.0,40.0,34.0,38.0,20.0,34.0,38.0,32.0,18.0,44.0
10.0,6.0,12.0,10.0,16.0,14.0,6.0,18.0,18.0,34.0,22.0,16.0,22.0,16.0,24.0,38.0,38.0,32.0,60.0,50.0
16.0,10.0,12.0,18.0,12.0,10.0,16.0,16.0,16.0,28.0,42.0,42.0,34.0,40.0,28.0,30.0,24.0,42.0,30.0,26.0
16.0,16.0,14.0,10.0,20.0,10.0,16.0,12.0,18.0,12.0,22.0,32.0,30.0,20.0,22.0,24.0,26.0,32.0,36.0,36.0
10.0,12.0,14.0,6.0,10.0,12.0,24.0,18.0,24.0,34.0,24.0,28.0,34.0,32.0,36.0,42.0,38.0,44.0,44.0,38.0
12.0,6.0,16.0,18.0,8.0,18.0,10.0,16.0,24.0,16.0,26.0,18.0,28.0,18.0,28.0,28.0,24.0,20.0,20.0,28.0
10.0,8.0,8.0,12.0,28.0,16.0,32.0,12.0,18.0,16.0,22.0,12.0,22.0,24.0,22.0,36.0,38.0,36.0,32.0,38.0

Averages:
10.4,12.0,15.0,13.6,19.2,15.4,19.8,21.0,19.6,24.4,25.8,28.6,31.2,28.8,28.4,34.2,34.4,33.6,33.4,35.8
Standard deviations:
3.2,5.440588203494177,5.60357029044876,4.882622246293481,8.207313811473277,7.378346698278687,7.453858061433689,8.910667763978186,5.9194594347794975,7.787168933572714,7.011419257183242,10.47091209016674,5.74108003776293,8.726969691708572,6.916646586316234,5.473572873361604,6.8,6.56048778674269,11.35077089893017,6.896375859826668



