Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,1,False

Seeds:,1596988062.7064419,1596988734.930274,1596989370.9747899,1596990044.504831,1596990723.907559,1596991392.333754,1596992061.942338,1596992714.650999,1596993390.556482,1596994054.059188


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,8.0,4.0,10.0,18.0,18.0,22.0,16.0,20.0,28.0,26.0,22.0,30.0,40.0,40.0,36.0,34.0,30.0,38.0,30.0
8.0,8.0,18.0,16.0,20.0,12.0,6.0,30.0,30.0,30.0,20.0,36.0,46.0,30.0,34.0,30.0,42.0,50.0,40.0,32.0
6.0,10.0,12.0,18.0,12.0,14.0,12.0,16.0,18.0,26.0,18.0,26.0,28.0,20.0,26.0,28.0,18.0,20.0,28.0,38.0
8.0,16.0,18.0,16.0,20.0,48.0,24.0,36.0,24.0,36.0,32.0,32.0,14.0,20.0,22.0,36.0,42.0,42.0,32.0,48.0
10.0,12.0,14.0,32.0,6.0,20.0,22.0,26.0,32.0,22.0,24.0,28.0,28.0,24.0,30.0,36.0,20.0,26.0,22.0,38.0
16.0,14.0,10.0,10.0,24.0,16.0,18.0,22.0,16.0,44.0,30.0,38.0,16.0,46.0,30.0,52.0,22.0,40.0,48.0,30.0
16.0,8.0,10.0,14.0,10.0,24.0,22.0,28.0,28.0,28.0,26.0,34.0,38.0,36.0,36.0,42.0,30.0,44.0,42.0,42.0
10.0,12.0,18.0,20.0,16.0,16.0,28.0,16.0,28.0,24.0,12.0,22.0,20.0,24.0,24.0,36.0,22.0,36.0,24.0,26.0
12.0,6.0,6.0,24.0,6.0,12.0,24.0,20.0,30.0,20.0,24.0,16.0,22.0,24.0,44.0,32.0,36.0,46.0,34.0,32.0
10.0,14.0,6.0,16.0,16.0,26.0,26.0,38.0,30.0,30.0,42.0,32.0,42.0,32.0,18.0,38.0,36.0,32.0,26.0,30.0

Averages:
10.4,10.8,11.6,17.6,14.8,20.6,20.4,24.8,25.6,28.8,25.4,28.6,28.4,29.6,30.4,36.6,30.2,36.6,33.4,34.6
Standard deviations:
3.2,3.1240998703626617,5.043808085167396,6.248199740725323,5.81033561853358,10.16070863670443,6.374950980203691,7.756287771866127,5.425863986500215,6.6452990903344595,7.800000000000001,6.696267617113283,10.307278981380101,8.380930735902785,7.787168933572714,6.390618123468182,8.646386528486914,9.035485598461214,8.101851640211638,6.390618123468183



