Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,1,False

Seeds:,1596988062.7064419,1596988734.930274,1596989370.9747899,1596990044.504831,1596990723.907559,1596991392.333754,1596992061.942338,1596992714.650999,1596993390.556482,1596994054.059188


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,16.0,8.0,8.0,12.0,8.0,4.0,12.0,4.0,18.0,16.0,18.0,10.0,12.0,4.0,8.0,6.0,12.0,8.0,8.0
8.0,10.0,14.0,8.0,12.0,12.0,18.0,16.0,10.0,8.0,4.0,10.0,6.0,16.0,8.0,12.0,16.0,14.0,12.0,18.0
6.0,14.0,16.0,20.0,16.0,12.0,14.0,10.0,20.0,10.0,12.0,8.0,22.0,10.0,4.0,10.0,10.0,10.0,8.0,16.0
8.0,10.0,24.0,12.0,16.0,6.0,14.0,12.0,6.0,10.0,6.0,16.0,10.0,4.0,8.0,6.0,8.0,4.0,14.0,12.0
10.0,8.0,10.0,10.0,10.0,10.0,4.0,10.0,10.0,8.0,26.0,6.0,6.0,14.0,10.0,14.0,20.0,10.0,8.0,14.0
16.0,2.0,12.0,18.0,14.0,10.0,12.0,8.0,6.0,12.0,10.0,12.0,4.0,10.0,4.0,6.0,12.0,14.0,4.0,16.0
16.0,12.0,8.0,6.0,10.0,4.0,16.0,16.0,8.0,6.0,10.0,8.0,4.0,18.0,6.0,12.0,8.0,12.0,6.0,6.0
10.0,6.0,10.0,10.0,8.0,10.0,16.0,8.0,8.0,14.0,8.0,8.0,18.0,12.0,6.0,6.0,10.0,12.0,8.0,10.0
12.0,8.0,10.0,12.0,10.0,6.0,8.0,14.0,6.0,8.0,14.0,10.0,12.0,6.0,6.0,4.0,10.0,2.0,8.0,6.0
10.0,16.0,6.0,8.0,18.0,8.0,12.0,8.0,10.0,14.0,14.0,18.0,20.0,10.0,2.0,8.0,12.0,10.0,12.0,8.0

Averages:
10.4,10.2,11.8,11.2,12.6,8.6,11.8,11.4,8.8,10.8,12.0,11.4,11.2,11.2,5.8,8.6,11.2,10.0,8.8,11.4
Standard deviations:
3.2,4.237924020083418,4.935585071701226,4.308131845707604,3.104834939252005,2.537715508089904,4.686149805543993,2.973213749463701,4.214261501141095,3.4871191548325386,5.865151319446072,4.2,6.337191807101943,4.019950248448357,2.2715633383201093,3.1048349392520045,3.919183588453085,3.794733192202055,2.85657137141714,4.2



