Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,1,False

Seeds:,1598560722.1965692,1598561526.279542,1598562155.130181,1598562785.897794,1598563413.394481,1598564028.180827,1598564647.969215,1598565264.396079,1598565894.78569,1598566511.525389


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

18.0,10.0,16.0,14.0,36.0,26.0,16.0,14.0,22.0,24.0,14.0,20.0,22.0,26.0,14.0,20.0,30.0,16.0,34.0,54.0
8.0,20.0,18.0,18.0,16.0,16.0,32.0,28.0,28.0,20.0,28.0,20.0,26.0,34.0,42.0,30.0,46.0,42.0,38.0,20.0
14.0,6.0,14.0,14.0,10.0,20.0,18.0,22.0,18.0,30.0,28.0,34.0,30.0,34.0,34.0,22.0,22.0,24.0,38.0,20.0
4.0,10.0,12.0,16.0,16.0,30.0,18.0,28.0,40.0,48.0,36.0,22.0,30.0,30.0,16.0,24.0,34.0,32.0,42.0,36.0
10.0,12.0,18.0,14.0,18.0,20.0,10.0,8.0,20.0,22.0,26.0,34.0,24.0,20.0,26.0,22.0,32.0,26.0,42.0,36.0
18.0,14.0,16.0,16.0,8.0,10.0,14.0,8.0,18.0,28.0,36.0,38.0,16.0,28.0,22.0,26.0,28.0,34.0,34.0,40.0
12.0,8.0,20.0,8.0,28.0,10.0,12.0,10.0,24.0,12.0,28.0,36.0,40.0,26.0,38.0,36.0,32.0,28.0,30.0,30.0
8.0,18.0,12.0,14.0,20.0,28.0,24.0,18.0,34.0,26.0,42.0,30.0,30.0,48.0,44.0,38.0,42.0,34.0,48.0,42.0
12.0,18.0,4.0,12.0,16.0,20.0,30.0,24.0,26.0,16.0,28.0,28.0,36.0,26.0,44.0,28.0,30.0,30.0,34.0,30.0
14.0,18.0,18.0,26.0,26.0,20.0,28.0,18.0,24.0,36.0,20.0,30.0,38.0,42.0,40.0,44.0,44.0,32.0,46.0,38.0

Averages:
11.8,13.4,14.8,15.2,19.4,20.0,20.2,17.8,25.4,26.2,28.6,29.2,29.2,31.4,32.0,29.0,34.0,29.8,38.6,34.6
Standard deviations:
4.237924020083418,4.651881339845203,4.4,4.4,8.052328855678958,6.44980619863884,7.4,7.291090453423274,6.696267617113282,9.775479527879948,7.6446059414465575,6.273754856543249,7.11055553385247,7.952358140828417,10.99090533122727,7.54983443527075,7.26636084983398,6.599999999999999,5.517245689653489,9.718024490605073



