Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,1,False

Seeds:,1598573296.081321,1598573906.8912451,1598574514.781159,1598575123.237397,1598575735.622165,1598576348.866913,1598576962.915251,1598577575.3787782,1598578193.293802,1598578812.7669702


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,12.0,4.0,16.0,24.0,10.0,18.0,18.0,18.0,22.0,14.0,16.0,12.0,22.0,32.0,28.0,16.0,26.0,30.0,38.0
10.0,20.0,26.0,18.0,14.0,24.0,28.0,14.0,28.0,24.0,22.0,42.0,46.0,42.0,26.0,24.0,32.0,32.0,40.0,48.0
6.0,10.0,16.0,22.0,12.0,10.0,12.0,12.0,24.0,18.0,20.0,22.0,26.0,28.0,22.0,34.0,26.0,26.0,26.0,38.0
10.0,14.0,20.0,10.0,14.0,10.0,16.0,18.0,28.0,22.0,28.0,28.0,26.0,22.0,14.0,32.0,32.0,24.0,40.0,18.0
8.0,12.0,8.0,14.0,30.0,16.0,28.0,26.0,28.0,22.0,24.0,18.0,26.0,26.0,34.0,28.0,28.0,20.0,38.0,32.0
12.0,8.0,16.0,22.0,20.0,12.0,26.0,18.0,18.0,22.0,36.0,26.0,26.0,16.0,24.0,32.0,38.0,38.0,40.0,46.0
6.0,14.0,12.0,18.0,10.0,16.0,26.0,28.0,22.0,28.0,16.0,28.0,24.0,18.0,36.0,20.0,34.0,30.0,32.0,20.0
10.0,10.0,20.0,4.0,12.0,30.0,20.0,18.0,42.0,30.0,30.0,32.0,36.0,36.0,46.0,38.0,42.0,40.0,38.0,52.0
4.0,16.0,18.0,28.0,12.0,20.0,22.0,16.0,26.0,28.0,28.0,24.0,24.0,34.0,38.0,36.0,42.0,32.0,26.0,26.0
16.0,22.0,26.0,24.0,20.0,18.0,24.0,28.0,12.0,38.0,22.0,48.0,44.0,22.0,40.0,28.0,28.0,30.0,26.0,36.0

Averages:
8.6,13.8,16.6,17.6,16.8,16.6,22.0,19.6,24.6,25.4,24.0,28.4,29.0,26.6,31.2,30.0,31.8,29.8,33.6,35.4
Standard deviations:
3.583294573433783,4.237924020083418,6.755738301621815,6.681317235396026,6.144916598294887,6.32771680782255,5.138093031466052,5.4258639865002145,7.696752561957543,5.44426303552648,6.324555320336759,9.54148835350125,9.6850400102426,7.952358140828417,9.130169768410664,5.215361924162119,7.507329751649384,5.8275209137333865,5.919459434779497,10.95627673984187



