Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1596975270.2181408,1596976110.161598,1596976982.30127,1596977897.793325,1596978791.416076,1596979660.582239,1596980516.009084,1596981374.6817029,1596982219.339654,1596983076.040925


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

18.0,12.0,14.0,14.0,6.0,20.0,8.0,16.0,4.0,18.0,10.0,8.0,12.0,14.0,14.0,8.0,14.0,6.0,6.0,16.0
8.0,10.0,8.0,6.0,4.0,18.0,10.0,14.0,8.0,2.0,14.0,12.0,6.0,14.0,6.0,8.0,8.0,4.0,12.0,16.0
4.0,12.0,10.0,6.0,18.0,12.0,6.0,8.0,6.0,8.0,4.0,8.0,6.0,8.0,18.0,12.0,12.0,4.0,8.0,8.0
12.0,14.0,18.0,10.0,18.0,10.0,10.0,12.0,16.0,10.0,14.0,16.0,8.0,4.0,10.0,14.0,10.0,8.0,8.0,12.0
14.0,8.0,10.0,14.0,8.0,10.0,8.0,12.0,14.0,10.0,10.0,14.0,12.0,18.0,16.0,12.0,12.0,14.0,6.0,10.0
6.0,14.0,10.0,16.0,12.0,16.0,12.0,12.0,10.0,14.0,10.0,6.0,8.0,6.0,10.0,12.0,16.0,12.0,10.0,12.0
4.0,18.0,4.0,4.0,16.0,10.0,12.0,10.0,20.0,14.0,6.0,14.0,14.0,10.0,8.0,6.0,8.0,18.0,12.0,12.0
6.0,16.0,12.0,18.0,10.0,8.0,14.0,10.0,6.0,10.0,8.0,6.0,12.0,2.0,12.0,8.0,14.0,8.0,6.0,4.0
6.0,10.0,14.0,14.0,8.0,8.0,6.0,4.0,8.0,6.0,4.0,10.0,6.0,8.0,10.0,10.0,16.0,14.0,14.0,4.0
4.0,10.0,6.0,16.0,14.0,10.0,4.0,14.0,16.0,14.0,14.0,14.0,12.0,6.0,10.0,16.0,10.0,6.0,6.0,6.0

Averages:
8.2,12.4,10.6,11.8,11.4,12.2,9.0,11.2,10.8,10.6,9.4,10.8,9.6,9.0,11.4,10.6,12.0,9.4,8.8,10.0
Standard deviations:
4.6000000000000005,2.939387691339814,3.903844259188627,4.686149805543993,4.737087712930805,4.044749683231338,3.0,3.249615361854384,5.075431016179809,4.386342439892262,3.6932370625238775,3.4871191548325386,2.939387691339814,4.753945729601885,3.4698703145794947,2.973213749463701,2.8284271247461903,4.565084884205332,2.85657137141714,4.1952353926806065



