Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1598479898.6863518,1598480649.518423,1598481394.1555321,1598482152.478602,1598482897.998014,1598483654.1984682,1598484404.443916,1598485162.2648141,1598485925.779456,1598486685.306599


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

14.0,28.0,30.0,28.0,36.0,18.0,32.0,30.0,44.0,26.0,20.0,30.0,44.0,48.0,36.0,54.0,60.0,52.0,54.0,50.0
10.0,24.0,14.0,22.0,18.0,24.0,38.0,24.0,32.0,24.0,22.0,28.0,32.0,26.0,30.0,32.0,34.0,42.0,34.0,32.0
12.0,12.0,18.0,16.0,22.0,26.0,20.0,24.0,12.0,30.0,34.0,38.0,28.0,28.0,36.0,38.0,46.0,54.0,62.0,54.0
16.0,12.0,26.0,22.0,14.0,26.0,44.0,26.0,48.0,24.0,42.0,38.0,50.0,50.0,34.0,38.0,38.0,40.0,52.0,46.0
18.0,18.0,6.0,20.0,22.0,22.0,22.0,36.0,28.0,28.0,38.0,44.0,32.0,54.0,38.0,38.0,38.0,44.0,40.0,46.0
14.0,14.0,14.0,8.0,12.0,26.0,30.0,18.0,18.0,28.0,42.0,24.0,28.0,42.0,36.0,46.0,32.0,30.0,38.0,38.0
14.0,10.0,24.0,26.0,30.0,24.0,34.0,32.0,42.0,48.0,44.0,34.0,42.0,38.0,42.0,36.0,34.0,34.0,52.0,42.0
6.0,14.0,12.0,28.0,26.0,44.0,26.0,34.0,28.0,34.0,34.0,32.0,28.0,32.0,30.0,40.0,38.0,38.0,42.0,52.0
18.0,22.0,14.0,14.0,26.0,34.0,22.0,32.0,16.0,26.0,32.0,26.0,34.0,40.0,32.0,36.0,44.0,40.0,52.0,60.0
10.0,22.0,16.0,28.0,34.0,24.0,34.0,24.0,24.0,22.0,22.0,14.0,24.0,30.0,38.0,40.0,36.0,36.0,36.0,36.0

Averages:
13.2,17.6,17.4,21.2,24.0,26.8,30.2,28.0,29.2,29.0,33.0,30.8,34.2,38.8,35.2,39.8,40.0,41.0,46.2,45.6
Standard deviations:
3.6,5.782732917920385,6.8731361109758335,6.4621977685614045,7.58946638440411,6.881860213634101,7.345747068882784,5.366563145999495,11.702991070662236,7.113367697511496,8.497058314499201,8.059776671843954,7.972452571197899,9.260669522232181,3.6,5.827520913733387,7.848566748139434,7.113367697511496,8.874683092933516,8.284926070883193



